artifact_id,model_name,version,train_start,train_end,training_cutoff,selected_hyperparams,cache_key,fit_code_commit
predictive_pcr-b062d57a88634bfba41b07479432694d,predictive_pcr,1.0,2024-01-01 00:00:00,2024-01-18 00:00:00,2024-01-19 00:00:00,"{""n_components"": 3}",predictive_pcr|1.0|2024-01-19 00:00:00|2024-01-31 00:00:00|h|vwap_fwd_1|4191f6f749164f9d1de481a2665904598ce58fba66304c6db14eb5040f388f55|d|u|,cec2390ac0fa0314efc604550eaa808445e57cc1
predictive_pcr-328860b2b4394dfb87451080a76f8e43,predictive_pcr,1.0,2024-01-11 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,"{""n_components"": 3}",predictive_pcr|1.0|2024-01-31 00:00:00|2024-02-12 00:00:00|h|vwap_fwd_1|36b057acb68e156c0e3d6cf7dc8d556b3e98e03a133a3da16db7193fe324145f|d|u|,cec2390ac0fa0314efc604550eaa808445e57cc1
