fold_id,train_start,train_end,validation_start,validation_end,test_start,test_end
0,2024-01-01T00:00:00.000000000,2024-01-19T00:00:00.000000000,2024-01-22T00:00:00.000000000,2024-01-31T00:00:00.000000000,2024-02-01T00:00:00.000000000,2024-02-08T00:00:00.000000000
1,2024-01-11T00:00:00.000000000,2024-01-31T00:00:00.000000000,2024-02-01T00:00:00.000000000,2024-02-12T00:00:00.000000000,2024-02-13T00:00:00.000000000,2024-02-20T00:00:00.000000000
