canonical,model_like,execution_class,lane,legacy_local_predictive
asin_bounded,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
atan,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
atan2,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
average_turnover,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
baseline_scaled_wasserstein_distance,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
benchmark_excess_return,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
benchmark_relative_price,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
bollinger_pct_b,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
bollinger_width,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
book_to_price,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
bounded_nvi,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
bounded_pvi,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
calendar_day_diff,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_abs_body,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_body,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_body_percentile,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_body_position,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_body_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_body_zscore,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_close_location,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_close_strength,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_direction,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_gap_atr,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_gap_pct,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_inside_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_lower_shadow,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_lower_shadow_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_lower_shadow_zscore,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_overlap_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_range,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_range_atr,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_range_percentile,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_range_zscore,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_rejection_lower,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_rejection_upper,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_upper_shadow,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_upper_shadow_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candle_upper_shadow_zscore,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
candlestick_pattern,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
capital_change_age,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
capital_change_magnitude,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cash_flow_lifecycle_stage,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cbrt,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_dark_cloud_cover,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_doji,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_dragonfly_doji,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_engulfing,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_evening_star,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_gravestone_doji,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_hammer,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_hanging_man,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_harami,True,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_harami_cross,True,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_inside_bar,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_inverted_hammer,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_marubozu,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_morning_star,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_outside_bar,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_piercing,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_shooting_star,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_spinning_top,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_three_black_crows,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_three_white_soldiers,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_tweezer_bottom,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cdl_tweezer_top,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ceil,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
choppiness_index,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
circulating_cap_ratio_change,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
circulating_cap_unlock_proxy,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
clip,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
coalesce,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
composition_aitchison_distance,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
composition_clr_component,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
composition_entropy,False,research_structural,DIAGNOSTIC_RESEARCH,False
composition_ilr_balance,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
composition_js_divergence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
composition_normalized_entropy,False,research_structural,DIAGNOSTIC_RESEARCH,False
constant,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
corwin_schultz_spread,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cos,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
