artifact_id,model_name,version,train_start,train_end,training_cutoff,selected_hyperparams,cache_key,fit_code_commit
predictive_pcr-2d79b7e15787480e8e7b136b88be062a,predictive_pcr,1.0,2024-01-01 00:00:00,2024-01-18 00:00:00,2024-01-19 00:00:00,"{""n_components"": 3}",predictive_pcr|1.0|2024-01-19 00:00:00|2024-01-31 00:00:00|h|vwap_fwd_1|384e8cff835da06d755220172c6bf09340e725b4556d6248448d9b7764a63978|d|u|,4b1577fce14c097fba48619885b38d6c596242eb
predictive_pcr-63a736f7781f4b12ad1be5f8dee254e6,predictive_pcr,1.0,2024-01-11 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,"{""n_components"": 3}",predictive_pcr|1.0|2024-01-31 00:00:00|2024-02-12 00:00:00|h|vwap_fwd_1|b7fdfb6f8653cbcb53dabb5f4d6de1a05f275977ec8c5de84830c81c9cf4f47e|d|u|,4b1577fce14c097fba48619885b38d6c596242eb
