canonical	module	panels	scalars	specs	reason
state_flip_density	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
state_persistence	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
state_transition_count	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
state_transition_rate	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
state_transition_surprise	factor_engine.cleaned_operators.technical.event_state_v2			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
tail_beta	factor_engine.cleaned_operators.price_volume.ops				MISSING_AUTHORITATIVE_PARAM_SPEC
trade_when	factor_engine.cleaned_operators.technical.signal				MISSING_AUTHORITATIVE_PARAM_SPEC
true_range_pct	factor_engine.cleaned_operators.technical.indicators_v2	high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_breakdown_low	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_breakout_high	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_channel_position	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_channel_width	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_channel_width_atr	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_channel_width_pct	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_channel_width_slope	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_consolidation_slope	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_consolidation_volume_decay	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_consolidation_width	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_days_since_high	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_days_since_low	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_decay_linear	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_delay	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_delta	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_distance_to_high	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_distance_to_low	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_ema	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_impulse_return	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_impulse_strength	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_impulse_volume	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_line_convergence	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_line_parallelism	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_log_return	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_max	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_median	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_min	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_new_high	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_new_low	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_nth_pivot_high	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_nth_pivot_high_age	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_nth_pivot_low	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_nth_pivot_low_age	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pattern_symmetry	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pct	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pivot_high_count	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pivot_high_spacing	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pivot_low_count	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_pivot_low_spacing	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_prev_high	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_prev_low	factor_engine.cleaned_operators.price_volume.technical_extensions	x,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_range_expansion	factor_engine.cleaned_operators.price_volume.technical_extensions	high,low,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_resistance_fit_r2	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_skew	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_std	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_sum	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_support_fit_r2	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_swing_amplitude	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_swing_amplitude_atr	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_swing_amplitude_pct	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_swing_duration	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_swing_velocity	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ts_var	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
ts_zscore	factor_engine.cleaned_operators.common.time_series				MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_acceleration	factor_engine.cleaned_operators.price_volume.liquidity_v2	turnover,short_window,long_window			MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_adjusted_volatility	factor_engine.cleaned_operators.price_volume.liquidity_v2	ret,turnover,window			MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_momentum	factor_engine.cleaned_operators.price_volume.technical_extensions	turnover,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_shock	factor_engine.cleaned_operators.price_volume.liquidity_v2	turnover,window			MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_volatility	factor_engine.cleaned_operators.price_volume.liquidity_v2	turnover,window			MISSING_AUTHORITATIVE_PARAM_SPEC
turnover_zscore	factor_engine.cleaned_operators.price_volume.technical_extensions	turnover,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ulcer_index	factor_engine.cleaned_operators.price_volume.technical_extensions	close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
up_down_volume_ratio	factor_engine.cleaned_operators.price_volume.liquidity_v2	ret,volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
up_volume_ratio	factor_engine.cleaned_operators.price_volume.liquidity_v2	ret,volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_acceleration	factor_engine.cleaned_operators.price_volume.liquidity_v2	volume,short_window,long_window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_momentum	factor_engine.cleaned_operators.price_volume.technical_extensions	volume,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
volume_price_range_density	factor_engine.cleaned_operators.price_volume.liquidity_v2	volume,high,low,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_shock	factor_engine.cleaned_operators.price_volume.liquidity_v2	volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_volatility	factor_engine.cleaned_operators.price_volume.liquidity_v2	volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_weighted_momentum	factor_engine.cleaned_operators.price_volume.liquidity_v2	close,volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_weighted_return	factor_engine.cleaned_operators.price_volume.liquidity_v2	ret,volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
volume_zscore	factor_engine.cleaned_operators.price_volume.technical_extensions	volume,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
vwap_deviation	factor_engine.cleaned_operators.price_volume.technical_extensions	price,volume,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
yang_zhang_vol	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
