canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
candle_inside_ratio,daily,,,,,[],OK
candle_lower_shadow,daily,,,,,[],OK
candle_lower_shadow_ratio,daily,,,,,[],OK
candle_lower_shadow_zscore,daily,,,,,[],OK
candle_overlap_ratio,daily,,,,,[],OK
candle_pattern_count,daily,,,,,[],OK
candle_range,daily,,,,,[],OK
candle_range_atr,daily,,,,,[],OK
candle_range_pct,daily,,,,,[],OK
candle_range_percentile,daily,,,,,[],OK
candle_range_zscore,daily,,,,,[],OK
candle_rejection_lower,daily,,,,,[],OK
candle_rejection_upper,daily,,,,,[],OK
candle_upper_shadow,daily,,,,,[],OK
candle_upper_shadow_ratio,daily,,,,,[],OK
candle_upper_shadow_zscore,daily,,,,,[],OK
candle_wick_balance,daily,,,,,[],OK
candlestick_pattern,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
capital_change_age,daily,,,,,[],OK
capital_change_magnitude,daily,,,,,[],OK
cash_flow_lifecycle_stage,daily,,,,,"['operating', 'investing', 'financing']",OK
category_age,extended,close_of_t,False,close_of_t,False,[],OK
category_age_lower_bound,extended,close_of_t,False,close_of_t,False,[],OK
category_frequency,extended,close_of_t,False,close_of_t,False,[],OK
category_transition_rate,extended,close_of_t,False,close_of_t,False,[],OK
category_transition_surprise,extended,close_of_t,False,close_of_t,False,[],OK
cbrt,daily,,,,,['x'],OK
cdl_dark_cloud_cover,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_doji,daily,,,,,[],OK
cdl_dragonfly_doji,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_engulfing,daily,,,,,[],OK
cdl_evening_star,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_gravestone_doji,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_hammer,daily,,,,,[],OK
cdl_hanging_man,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_harami,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_harami_cross,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_inside_bar,daily,,,,,[],OK
