canonical,param,role,role_source
intraday_barrier_approach_acceleration,session_tz,NONE,authored
intraday_impact_decay_rate,horizon,horizon,rule
intraday_impact_decay_rate,shock_quantile,state_threshold,rule
intraday_profile_pca_residual,history_days,horizon,rule
intraday_profile_pca_residual,n_components,model_order,rule
intraday_profile_pca_residual,min_history_sessions,NONE,authored
intraday_profile_phase_shift,session_tz,NONE,authored
intraday_profile_surprise_energy,session_tz,NONE,authored
intraday_quantile_curve_pca_residual,session_tz,NONE,authored
intraday_quantile_curve_pca_score,session_tz,NONE,authored
intraday_realized_power_variation,session_tz,NONE,authored
intraday_session_shape_novelty,history_days,horizon,rule
intraday_session_shape_novelty,min_history_sessions,NONE,authored
intraday_subsampled_rv_dispersion,session_tz,NONE,authored
intraday_volatility_signature_slope,session_tz,NONE,authored
intraday_volume_clock_path_efficiency,buckets,estimator_resolution,authored
intraday_volume_clock_roughness,buckets,estimator_resolution,authored
intraday_wasserstein_pair_distance,session_tz,NONE,authored
panel_mixture_of_experts_score,window,horizon,rule
panel_mixture_of_experts_score,n_experts,model_order,rule
panel_mixture_of_experts_score,label_horizon,horizon,rule
panel_regime_conditioned_forecast,window,horizon,rule
panel_regime_conditioned_forecast,n_regimes,model_order,rule
panel_regime_conditioned_forecast,label_horizon,horizon,rule
panel_rolling_elastic_net_forecast,window,horizon,rule
panel_rolling_elastic_net_forecast,alpha,state_threshold,rule
panel_rolling_elastic_net_forecast,l1_ratio,estimator_resolution,rule
panel_rolling_elastic_net_forecast,label_horizon,horizon,rule
panel_rolling_pca_explained_ratio,window,horizon,rule
panel_rolling_pca_explained_ratio,n_components,model_order,rule
panel_rolling_pca_loading,window,horizon,rule
panel_rolling_pca_loading,component,model_order,rule
panel_rolling_pca_resid,window,horizon,rule
panel_rolling_pca_resid,n_components,model_order,rule
panel_rolling_pca_resid_momentum,window,horizon,rule
panel_rolling_pca_resid_momentum,n_components,model_order,rule
panel_rolling_pca_resid_vol,window,horizon,rule
panel_rolling_pca_resid_vol,n_components,model_order,rule
panel_rolling_pcr_forecast,window,horizon,rule
panel_rolling_pcr_forecast,n_components,model_order,rule
panel_rolling_pcr_forecast,label_horizon,horizon,rule
panel_rolling_pls_forecast,window,horizon,rule
panel_rolling_pls_forecast,n_components,model_order,rule
panel_rolling_pls_forecast,label_horizon,horizon,rule
price_spread_deviation,d,horizon,authored
rank_corr,d,horizon,authored
relation_concentration_acceleration,window,horizon,rule
relation_entropy,missing_semantic,NONE,authored
relation_entropy_change,window,horizon,rule
relation_entry_count,window,horizon,rule
relation_entry_count,missing_policy,missing_policy,rule
relation_exit_count,window,horizon,rule
relation_exit_count,missing_policy,missing_policy,rule
relation_hhi,missing_semantic,NONE,authored
relation_hhi_change,window,horizon,rule
relation_rank_mobility,window,horizon,rule
relation_rank_weighted_sum,missing_semantic,NONE,authored
relation_share_mobility,window,horizon,rule
relation_topk_concentration,k,state_threshold,rule
relation_topk_sum,missing_semantic,NONE,authored
report_filing_delay_surprise,window,horizon,rule
report_revision_magnitude,window,horizon,rule
session_event_recovery_score,horizon,horizon,rule
session_event_recovery_score,residual_fraction,state_threshold,rule
session_event_recovery_score,refractory,policy,authored
session_event_recovery_score,session_tz,policy,authored
session_event_recovery_score,min_events,estimator_resolution,authored
ts_abdi_ranaldo_spread,window,horizon,rule
ts_activity_clock_age,scale_window,horizon,rule
ts_activity_clock_age,include_current,policy,rule
ts_activity_clock_lagged_value,scale_window,horizon,rule
ts_activity_clock_lagged_value,include_current,policy,rule
ts_activity_clock_lagged_value_prior,scale_window,horizon,rule
ts_argmax,window,horizon,authored
ts_argmin,window,horizon,authored
ts_autocorr,window,horizon,authored
ts_autocorr,lag,economic,authored
ts_autocorr,min_periods,support_policy,authored
ts_bds_statistic,window,horizon,rule
ts_bds_statistic,embedding_dim,estimator_resolution,authored
ts_bds_statistic,distance_multiplier,estimator_resolution,authored
ts_beta,window,horizon,authored
ts_beta,min_periods,support_policy,authored
ts_bicoherence_top_decile_excess,window,estimator_resolution,authored
ts_bicoherence_top_decile_excess,n_segments,estimator_resolution,authored
ts_bicoherence_top_decile_excess,n_surrogates,estimator_resolution,authored
ts_bicoherence_top_decile_mean,window,estimator_resolution,authored
ts_bicoherence_top_decile_mean,n_segments,estimator_resolution,authored
ts_binned_response_curvature,bins,estimator_resolution,authored
ts_binned_response_curvature,min_per_bin,estimator_resolution,authored
ts_binned_response_monotonicity,bins,estimator_resolution,authored
ts_binned_response_monotonicity,min_per_bin,estimator_resolution,authored
ts_change_point_probability,window,horizon,rule
ts_change_point_probability,transition_prob,policy,authored
ts_conditional_mutual_information,window,horizon,rule
ts_conditional_mutual_information,bins,estimator_resolution,authored
ts_conditional_transfer_entropy,window,horizon,rule
ts_conditional_transfer_entropy,bins,estimator_resolution,authored
ts_conditional_transfer_entropy,lag,horizon,rule
ts_conditional_transfer_entropy,min_cells_ratio,estimator_resolution,authored
ts_confirmed_pivot_high,left_window,horizon,rule
ts_confirmed_pivot_high,right_window,horizon,rule
ts_confirmed_pivot_low,left_window,horizon,rule
ts_confirmed_pivot_low,right_window,horizon,rule
ts_copula_central_asymmetry,window,estimator_resolution,authored
ts_copula_central_asymmetry,grid,estimator_resolution,authored
ts_cov,window,horizon,authored
ts_coverage_ratio,window,horizon,rule
ts_coverage_ratio,min_periods,policy,authored
ts_cpt_value,window,horizon,authored
ts_cpt_value,preset,NONE,authored
ts_cpt_value,min_coverage,policy,authored
ts_cross_spectral_coherence,window,horizon,rule
ts_cross_spectral_coherence,band,NONE,authored
ts_cross_spectral_phase,window,horizon,rule
ts_cross_spectral_phase,band,NONE,authored
ts_cross_spectral_phase,min_coherence,estimator_resolution,authored
ts_decay_exp_window,window,horizon,authored
ts_decay_exp_window,alpha,economic,authored
ts_detrended_level_spectral_entropy,window,horizon,rule
ts_distance_corr,window,horizon,rule
ts_distance_corr,min_periods,support_policy,rule
ts_distance_cov,window,horizon,rule
ts_distance_cov,min_periods,support_policy,rule
ts_distance_to_resistance,left_window,horizon,rule
ts_distance_to_resistance,right_window,horizon,rule
ts_distance_to_support,left_window,horizon,rule
ts_distance_to_support,right_window,horizon,rule
ts_dmd_level_dominant_frequency,window,horizon,authored
ts_dmd_level_dominant_frequency,rank,estimator_resolution,authored
ts_dmd_level_dominant_frequency,dim,estimator_resolution,authored
ts_dmd_level_dominant_frequency,delay,estimator_resolution,authored
ts_dmd_level_dominant_growth_rate,window,horizon,authored
ts_dmd_level_dominant_growth_rate,rank,estimator_resolution,authored
ts_dmd_level_dominant_growth_rate,dim,estimator_resolution,authored
ts_dmd_level_dominant_growth_rate,delay,estimator_resolution,authored
ts_dmd_level_mode_concentration,window,horizon,authored
ts_dmd_level_mode_concentration,rank,estimator_resolution,authored
ts_dmd_level_mode_concentration,dim,estimator_resolution,authored
ts_dmd_level_mode_concentration,delay,estimator_resolution,authored
ts_dmd_level_mode_concentration,top_k,estimator_resolution,authored
ts_dmd_return_dominant_frequency,window,horizon,authored
ts_dmd_return_dominant_frequency,rank,estimator_resolution,authored
ts_dmd_return_dominant_frequency,dim,estimator_resolution,authored
ts_dmd_return_dominant_frequency,delay,estimator_resolution,authored
ts_dmd_return_dominant_growth_rate,window,horizon,authored
ts_dmd_return_dominant_growth_rate,rank,estimator_resolution,authored
ts_dmd_return_dominant_growth_rate,dim,estimator_resolution,authored
ts_dmd_return_dominant_growth_rate,delay,estimator_resolution,authored
ts_dmd_return_mode_concentration,window,horizon,authored
ts_dmd_return_mode_concentration,rank,estimator_resolution,authored
ts_dmd_return_mode_concentration,dim,estimator_resolution,authored
ts_dmd_return_mode_concentration,delay,estimator_resolution,authored
ts_dmd_return_mode_concentration,top_k,estimator_resolution,authored
ts_dominant_cycle_period,window,estimator_resolution,authored
ts_edge_effective_spread,window,horizon,rule
ts_edge_effective_spread,min_valid_pairs,numerical,authored
ts_edge_effective_spread,min_valid_ratio,numerical,authored
ts_effective_transfer_entropy,window,horizon,rule
ts_effective_transfer_entropy,bins,estimator_resolution,authored
ts_effective_transfer_entropy,lag,horizon,rule
ts_effective_transfer_entropy,min_cells_ratio,estimator_resolution,authored
ts_evt_threshold_stability,window,horizon,rule
ts_evt_threshold_stability,k_min,support_policy,rule
ts_evt_threshold_stability,k_max,estimator_resolution,authored
ts_evt_threshold_stability,side,policy,rule
ts_expectile,n_min,estimator_resolution,authored
ts_expectile_beta,n_min,estimator_resolution,authored
ts_feature_pca_reconstruction_error,window,horizon,rule
ts_feature_pca_reconstruction_error,n_components,model_order,rule
ts_forbidden_ordinal_pattern_excess,window,horizon,rule
ts_forbidden_ordinal_pattern_excess,order,model_order,rule
ts_forbidden_ordinal_pattern_excess,delay,estimator_resolution,rule
ts_forbidden_ordinal_pattern_excess,min_embeddings,support_policy,rule
ts_forbidden_ordinal_pattern_ratio,window,horizon,rule
ts_forbidden_ordinal_pattern_ratio,order,model_order,rule
ts_forbidden_ordinal_pattern_ratio,delay,estimator_resolution,rule
ts_forbidden_ordinal_pattern_ratio,min_embeddings,support_policy,rule
ts_forbidden_ordinal_pattern_signed_excess,window,horizon,rule
ts_forbidden_ordinal_pattern_signed_excess,order,model_order,rule
ts_forbidden_ordinal_pattern_signed_excess,delay,estimator_resolution,rule
ts_forbidden_ordinal_pattern_signed_excess,min_embeddings,support_policy,rule
ts_generalized_hurst_exponent,window,horizon,rule
ts_generalized_hurst_exponent,q,state_threshold,rule
ts_glr_mean_shift_score,window,horizon,rule
ts_glr_mean_shift_score,min_segment,support_policy,rule
ts_glr_variance_shift_score,window,horizon,rule
ts_glr_variance_shift_score,min_segment,support_policy,rule
ts_hodges_lehmann_location,window,horizon,rule
ts_hodges_lehmann_location,min_periods,support_policy,rule
ts_hvg_assortativity,window,horizon,rule
ts_hvg_assortativity,min_periods,estimator_resolution,authored
ts_hvg_assortativity,min_nodes,estimator_resolution,authored
ts_hvg_assortativity,min_coverage_fraction,estimator_resolution,authored
ts_hvg_clustering_coefficient,window,horizon,rule
ts_hvg_clustering_coefficient,min_periods,estimator_resolution,authored
ts_hvg_clustering_coefficient,min_nodes,estimator_resolution,authored
ts_hvg_clustering_coefficient,min_coverage_fraction,estimator_resolution,authored
ts_hvg_degree_entropy,window,horizon,rule
ts_hvg_degree_entropy,min_periods,estimator_resolution,authored
ts_hvg_degree_entropy,min_nodes,estimator_resolution,authored
ts_hvg_degree_entropy,min_coverage_fraction,estimator_resolution,authored
ts_hvg_forward_backward_asymmetry,window,horizon,rule
ts_hvg_forward_backward_asymmetry,min_periods,estimator_resolution,authored
ts_hvg_forward_backward_asymmetry,min_nodes,estimator_resolution,authored
ts_hvg_forward_backward_asymmetry,min_coverage_fraction,estimator_resolution,authored
ts_hvg_motif_entropy,window,horizon,rule
ts_hvg_motif_entropy,min_periods,estimator_resolution,authored
ts_hvg_motif_entropy,min_nodes,estimator_resolution,authored
ts_hvg_motif_entropy,min_coverage_fraction,estimator_resolution,authored
ts_hysteresis_age,missing_policy,missing_policy,rule
ts_hysteresis_state,missing_policy,missing_policy,rule
ts_kernel_granger_score,window,horizon,rule
ts_kernel_granger_score,lag,horizon,rule
ts_lagged_mutual_information,window,horizon,rule
ts_lagged_mutual_information,lag,horizon,rule
ts_lagged_mutual_information,bins,estimator_resolution,rule
