name,raw_mean,raw_icir,half_life,decay_lambda,y2026_ic,y2026_icir,y2026_n,y2025_ic,y2025_icir,y2024_ic,ind_ic,ind_icir,size_ic,size_icir,both_ic,both_icir,m2026_mean,m2026_n
factor_resvol_smoothed_trend,0.029155646986106322,0.2302220630628133,0.543285715678797,1.2758428218454207,0.0050164177082630355,0.040841083925444575,114,0.033177122471697656,0.2945100540672841,0.038656278750732326,0.02696640512549844,0.2784053618248734,0.029371408542619985,0.2569864215839691,0.02710181579062886,0.33169675927359105,0.006038489944860456,6
factor_intraday_volume_spike,0.04093874448984177,0.3391060194618846,0.3448649580901944,2.009908992779321,0.01595002629390234,0.1333438949865111,114,0.050564502292928026,0.49076011699515265,0.046618106529557765,0.03628043624776166,0.42189025282029347,0.04196041967678087,0.38529673304307366,0.03721844489235927,0.5049778921195578,0.015236535687722444,6
factor_drawdown_depth_normalized,0.03344981566177935,0.26484543180258313,0.42615227626916896,1.626524646608095,-0.004825595488654382,-0.03218972414697994,114,0.04482923166122049,0.38519463405342413,0.040824467480107346,0.02833595829911908,0.3100211222561229,0.03257626549077489,0.269716707751681,0.027528574715617204,0.3264393964324465,-0.00596314630262586,6
factor_fear_adjusted_dollar_pressure_short_ema,0.03464642935421015,0.3001578441605628,0.21146957749560338,3.2777631126366455,0.015214629115773433,0.13872294696804346,114,0.040165813273146916,0.38734113289992367,0.04119366539279278,0.03231839344475641,0.3760201016932262,0.035627383174497915,0.3395582713328216,0.03324167202518166,0.44621224456773684,0.014835603324978382,6
factor_volume_pressure_light_crossover,0.047770805164159436,0.39858005768268767,0.4014773194394154,1.7264915027523593,0.01953933780042163,0.16010168821984783,114,0.06110095588191324,0.610992522826534,0.05332972759518709,0.043587311477252595,0.5038007272994879,0.04825154883056551,0.4406091761233995,0.044108170732366246,0.5923254460785908,0.018495503772757767,6
factor_volume_confirmed_momentum_crossover_v2,0.02993466717147414,0.22404850563559506,0.36340006102847344,1.907394232676354,0.006197302108239363,0.04789949161010951,114,0.041653927213010485,0.3528931088841131,0.033429522676186846,0.02588025175446491,0.28469990307688614,0.030975496061979697,0.26153667636177347,0.026733724687399308,0.35510642079658206,0.005395844772352374,6
factor_vol_gated_herding_crossover,0.030073930780116595,0.22024414234388032,0.36539592125093945,1.8969756919752787,0.0033464040321975488,0.025205210803990286,114,0.03924821555858214,0.32675239223990565,0.03323104590424089,0.025116504452402977,0.26996818304457637,0.030827964173931972,0.2538299308186601,0.025732550630968843,0.33829831825304835,0.002290713031581559,6
factor_pressure_compression_simplified_v3,0.021161094444834414,0.1755058554637677,nan,nan,0.008355176571339119,0.0686548938378388,114,0.02195914585150607,0.18092346105702403,0.017829494129664895,0.017204399319415087,0.23022778884737632,0.021855896291135535,0.2035378397794449,0.018087288930997456,0.2939278170539813,0.009365988568890813,6
factor_dollar_pressure_range_zscore,0.009012585598754763,0.0870637699718694,nan,nan,0.006041803565139109,0.048545128594193965,114,0.008339739257200801,0.07825100193833012,0.006864313634407556,0.007635344903009191,0.11138453105411861,0.008710085776202836,0.09327062301670219,0.007661909249810664,0.13463230453445602,0.007384824482888189,6
factor_order_imbalance_volume_flow_ema,0.01334914014147084,0.12859507940477896,0.3480255600730087,1.991655958874219,0.00822208622474344,0.08488557524823806,114,0.012003536856754088,0.11453241682313174,0.012075334163250214,0.008543690231587723,0.1402386627314698,0.010983221268169436,0.10206924430989886,0.007466946834753479,0.10672750455191447,0.008578663928518812,6
factor_herding_simple,0.028731400185310944,0.23049052761560976,0.2883162330924579,2.4041212425859673,0.016745892565334826,0.13936178299669735,114,0.030923719370058823,0.2652731140985379,0.025909130157174165,0.02587442801331293,0.28925876971478137,0.030297949783983417,0.266142498222646,0.02728971950964006,0.35547930963122737,0.0158297690011395,6
factor_vol_gated_momentum_volume_weighted,0.030337216921771437,0.22235021886493056,0.09782157968417723,7.085830987373257,0.005625904130015413,0.042405397914428426,114,0.04024122593503628,0.3307419161582047,0.035201982011341906,0.0242923279299324,0.26772581626683317,0.03186212259121864,0.264330206952163,0.025390390006362538,0.33695170346481323,0.004186110739352756,6
factor_intraday_reversal,0.014619706486702274,0.1138294184478559,nan,nan,0.005154022072594408,0.03645694866809834,114,0.01572794016079423,0.1195056822392814,0.0011831443878740906,0.013096289884074852,0.1453061482255256,0.01571439058404566,0.13571479327471495,0.01405930290502281,0.188412391326955,0.0066097134098024235,6
factor_volume_confirmed_up_capture,0.036864791994813656,0.313658817103347,0.36617800551354396,1.892924124669491,0.011058762372686408,0.09325442594313207,114,0.04646029462932025,0.4705905238432351,0.04562558304841915,0.03447650741471479,0.4051284402481435,0.03669518511790271,0.33907469338466667,0.034290569677549176,0.4699514369017527,0.010320126148269326,6
factor_adaptive_vol_directional_smooth_range10,0.029678502095457134,0.21525088066107628,0.3532106356455225,1.9624187683169838,0.005586569221862237,0.0434758716160338,114,0.03826754987821935,0.2997940813434098,0.023678355245303144,0.023269985514321904,0.2556808165372256,0.03124356395051124,0.260822619310107,0.02478659495365542,0.33385751660503277,0.005227346000304801,6
factor_lagret_volratio_gated_smooth,0.02971638489912671,0.30638320292488097,0.46768658408964386,1.4820762539279644,0.01667989854599062,0.1905783621717664,114,0.039602516482852915,0.3717424092775901,0.03990209392830256,0.02322929562453237,0.3327365957236508,0.03161808552841417,0.33722123782176494,0.025182225022261192,0.36741914853505975,0.015310726111630063,6
factor_directional_vol_volbase25_smooth_dir_range10,0.030075504594090956,0.2185644675874535,0.3209907404392463,2.159399301087119,0.005629496027781101,0.04391529443099874,114,0.038061430428353776,0.299016809865874,0.023924638588154468,0.024010166967110776,0.2649866370017532,0.03153032644507109,0.26323964395628113,0.025467214871460555,0.34466822462332514,0.005278576128973728,6
factor_drawdown_normalized,0.03244384396420549,0.24152487244392207,0.43076662726282255,1.609101394331175,0.0015568602004974394,0.01100369237027035,114,0.04256807184538531,0.3428548234566036,0.04304168913611503,0.027070205368751394,0.27182853544933194,0.03163492198337333,0.25660390939388106,0.026173066768029787,0.3013014091136222,0.0005100340971272953,6
factor_drawdown_recovery,0.03244384396420549,0.24152487244392207,0.43076662726282267,1.6091013943311745,0.001556860200497117,0.011003692370268067,114,0.04256807184538527,0.3428548234566033,0.04304168913611502,0.027070205259872235,0.2718285341256426,0.03163492198337334,0.25660390939388106,0.026173066768029784,0.3013014091136222,0.0005100340971272918,6
factor_volume_weighted_price_change,0.04407432782663096,0.4044392055778702,0.22841184894852806,3.034637580102703,0.016969966891681183,0.1557507675343935,114,0.053811387697058614,0.6043097015714852,0.05212474485354054,0.035683964023665686,0.44724914095674645,0.042450768587318784,0.4204791517576296,0.03444430017303565,0.4755563517863788,0.017010868633700126,6
