factor_name,display_name,rank_ic_close_改VWAP前,rank_ic_vwap_改VWAP后,rank_ic_vwap_行业中性,rank_ic_vwap_市值中性,rank_ic_vwap_行业市值双中性,变化_close到vwap,变化_vwap到行业中性,变化_vwap到市值中性,变化_vwap到双中性,rank_icir_close_改VWAP前,rank_icir_vwap_改VWAP后,rank_icir_vwap_行业中性,rank_icir_vwap_市值中性,rank_icir_vwap_行业市值双中性,变化_rankicir_close到vwap,变化_rankicir_vwap到行业中性,变化_rankicir_vwap到市值中性,变化_rankicir_vwap到双中性,rank_ic_2026_中性化前,rank_ic_2026_行业中性,rank_ic_2026_市值中性,变化_2026_原始到行业中性,变化_2026_原始到市值中性,变化_2026_原始到双中性,rank_icir_2026_中性化前,rank_icir_2026_行业中性,rank_icir_2026_市值中性,变化_rankicir_2026_原始到行业中性,变化_rankicir_2026_原始到市值中性,变化_rankicir_2026_原始到双中性,rank_ic_2026_交易日数,rank_ic_2019_行业市值双中性,rank_icir_2019_行业市值双中性,rank_ic_2020_行业市值双中性,rank_icir_2020_行业市值双中性,rank_ic_2021_行业市值双中性,rank_icir_2021_行业市值双中性,rank_ic_2022_行业市值双中性,rank_icir_2022_行业市值双中性,rank_ic_2023_行业市值双中性,rank_icir_2023_行业市值双中性,rank_ic_2024_行业市值双中性,rank_icir_2024_行业市值双中性,rank_ic_2025_行业市值双中性,rank_icir_2025_行业市值双中性,rank_ic_2026_行业市值双中性,rank_icir_2026_行业市值双中性,备注
factor_simple_convex_momentum_log_volume,factor_simple_convex_momentum_log_volume,0.039474,0.034565,0.023992,0.033738,0.023321,-0.004909,-0.010573,-0.000827,-0.011244,0.249963,0.232092,0.249135,0.260863,0.279111,-0.017871,0.017043,0.028771,0.047019,0.001773,0.003171,0.009264,0.001398,0.007491,0.008601,0.012926,0.038906,0.082543,0.025980,0.069617,0.109087,114,0.037396,0.488094,0.028096,0.351817,0.026975,0.411704,0.022066,0.271665,0.011637,0.136187,0.018030,0.168933,0.026085,0.327193,0.010374,0.122013,
week2_asymmetric_range_15d,week2:asymmetric_range_15d,0.046465,0.034508,0.032918,0.033566,0.032203,-0.011958,-0.001590,-0.000942,-0.002304,0.481266,0.383699,0.527749,0.403930,0.591312,-0.097566,0.144049,0.020230,0.207613,0.027532,0.021182,0.027823,-0.006351,0.000290,-0.005378,0.295340,0.340372,0.312143,0.045033,0.016803,0.084204,114,0.042774,0.877801,0.027192,0.404033,0.023865,0.436518,0.029204,0.593200,0.033261,0.731819,0.034855,0.604980,0.038990,0.776731,0.022154,0.379544,
week2_asymmetric_range_ema5,week2:asymmetric_range_ema5,0.045275,0.034348,0.032691,0.033202,0.031767,-0.010927,-0.001657,-0.001146,-0.002581,0.499880,0.410435,0.554996,0.441262,0.648091,-0.089446,0.144562,0.030828,0.237656,0.022387,0.018312,0.022290,-0.004075,-0.000097,-0.003576,0.276566,0.337634,0.297050,0.061068,0.020484,0.104742,114,0.039953,0.907859,0.025652,0.440555,0.024945,0.525817,0.032771,0.715812,0.033647,0.810867,0.035130,0.665315,0.036373,0.751811,0.018811,0.381308,
factor_adaptive_volume_smoothness,factor_adaptive_volume_smoothness,0.039326,0.034341,0.031500,0.036018,0.032990,-0.004986,-0.002841,0.001678,-0.001351,0.585973,0.536162,0.629346,0.571794,0.652902,-0.049811,0.093184,0.035632,0.116740,0.030930,0.021214,0.028961,-0.009717,-0.001970,-0.011303,0.484097,0.431341,0.407375,-0.052755,-0.076721,-0.143805,114,0.037919,0.895145,0.027887,0.550843,0.021794,0.473724,0.033853,0.737821,0.035805,0.763622,0.034346,0.548774,0.045779,0.944697,0.019627,0.340291,
factor_herding_vol_stress,weekly:factor_herding_vol_stress,,0.034219,0.028130,0.035745,0.029457,,-0.006088,0.001526,-0.004761,,0.264236,0.313583,0.304794,0.377434,,0.049347,0.040558,0.113198,0.015398,0.014807,0.010238,-0.000591,-0.005160,-0.004844,0.124810,0.174875,0.087990,0.050065,-0.036820,0.007744,114,0.032305,0.448400,0.025956,0.333617,0.034659,0.469114,0.025476,0.355512,0.029224,0.403965,0.032046,0.311084,0.035397,0.524597,0.010555,0.132554,无close基线
factor_mut_cro_asym_vol_ratio_med_15_minp3_vol10,factor_mut_cro_asym_vol_ratio_med_15_minp3_vol10,0.045801,0.034077,0.030146,0.033780,0.030528,-0.011724,-0.003931,-0.000297,-0.003549,0.522939,0.421177,0.548439,0.408759,0.520565,-0.101763,0.127262,-0.012418,0.099388,0.023817,0.016191,0.019403,-0.007626,-0.004413,-0.011631,0.285092,0.306704,0.215622,0.021611,-0.069470,-0.089519,114,0.035394,0.705506,0.025555,0.410691,0.025596,0.419588,0.025382,0.495891,0.037821,0.674759,0.033667,0.468625,0.038929,0.790128,0.012186,0.195574,
week2_adaptive_dir_vol_cross,week2:adaptive_dir_vol_cross,0.041687,0.033793,0.031593,0.033966,0.031782,-0.007894,-0.002200,0.000172,-0.002011,0.279258,0.235755,0.318815,0.265027,0.377632,-0.043503,0.083059,0.029272,0.141877,0.012046,0.010615,0.012196,-0.001430,0.000150,-0.001201,0.090678,0.121676,0.095535,0.030998,0.004857,0.041544,114,0.039590,0.512788,0.025682,0.284310,0.026928,0.332648,0.028639,0.359722,0.036686,0.498591,0.038994,0.373385,0.035817,0.463722,0.010844,0.132222,
factor_range_asym_log_vol,factor_range_asym_log_vol,0.035888,0.033781,0.032311,0.033049,0.031694,-0.002107,-0.001471,-0.000732,-0.002088,0.450392,0.446052,0.552963,0.503621,0.676475,-0.004340,0.106910,0.057568,0.230422,0.023786,0.019082,0.024536,-0.004704,0.000750,-0.004254,0.356425,0.373601,0.405943,0.017176,0.049518,0.081179,114,0.035075,0.977344,0.025219,0.552673,0.023023,0.530718,0.033149,0.721639,0.037130,0.871626,0.035665,0.578288,0.038582,0.837836,0.019532,0.437604,
factor_drawdown_depth_normalized,factor_drawdown_depth_normalized,0.033851,0.033450,0.028336,0.032576,0.027529,-0.000401,-0.005114,-0.000874,-0.005921,0.255044,0.264845,0.310021,0.269717,0.326439,0.009801,0.045176,0.004871,0.061594,-0.004826,0.000422,-0.004017,0.005248,0.000809,0.005662,-0.032332,0.004321,-0.028780,0.036653,0.003551,0.041603,114,0.027884,0.364360,0.017712,0.209448,0.031043,0.352535,0.035287,0.434228,0.024684,0.283626,0.030474,0.330279,0.038173,0.530213,0.000836,0.009271,
factor_drawdown_depth_duration_range_vol,factor_drawdown_depth_duration_range_vol,0.038773,0.033202,0.028236,0.030436,0.027285,-0.005571,-0.004966,-0.002766,-0.005917,0.304982,0.278206,0.343495,0.270508,0.361472,-0.026776,0.065289,-0.007698,0.083266,-0.003035,-0.001699,0.001917,0.001336,0.004951,0.003547,-0.024167,-0.021401,0.017012,0.002766,0.041180,0.031036,114,0.035889,0.593010,0.024198,0.304988,0.024261,0.301561,0.034204,0.478159,0.021885,0.274091,0.026155,0.304482,0.036966,0.582037,0.000512,0.006869,
week2_range_pos_vol_gate,week2:range_pos_vol_gate,0.047880,0.032952,0.030211,0.033597,0.030998,-0.014928,-0.002741,0.000645,-0.001954,0.386442,0.282370,0.373321,0.309493,0.427533,-0.104073,0.090951,0.027124,0.145164,0.021636,0.011398,0.018899,-0.010238,-0.002737,-0.011944,0.192045,0.143804,0.170223,-0.048241,-0.021822,-0.068219,114,0.043581,0.654997,0.031095,0.393509,0.026030,0.368345,0.029442,0.435269,0.027752,0.425282,0.031320,0.386234,0.037744,0.542606,0.009692,0.123825,
factor_crash_vol_spike_volregime_boost,factor_crash_vol_spike_volregime_boost,0.043240,0.032945,0.028651,0.032675,0.028546,-0.010295,-0.004294,-0.000270,-0.004399,0.406526,0.336999,0.450625,0.357329,0.501784,-0.069527,0.113626,0.020330,0.164785,0.023794,0.015693,0.021483,-0.008101,-0.002310,-0.010045,0.240180,0.242668,0.226598,0.002488,-0.013582,-0.007925,114,0.037652,0.773335,0.024118,0.384948,0.021971,0.388133,0.030133,0.573186,0.022677,0.468643,0.029744,0.460469,0.042257,0.758103,0.013749,0.232255,
factor_mut_cro_asym_vol_ratio_med_20_minp3_vol10_ema2,weekly:factor_mut_cro_asym_vol_ratio_med_20_minp3_vol10_ema2,,0.032772,0.029032,0.032526,0.029529,,-0.003740,-0.000246,-0.003243,,0.401646,0.519649,0.396936,0.507707,,0.118003,-0.004710,0.106061,0.022371,0.014694,0.019644,-0.007677,-0.002727,-0.009692,0.262672,0.267344,0.219102,0.004672,-0.043570,-0.059886,114,0.034177,0.675015,0.026229,0.418488,0.028118,0.460028,0.026342,0.496733,0.032651,0.612816,0.030450,0.444741,0.036664,0.717598,0.012678,0.202786,无close基线
factor_downside_vol_liquidity_momentum,factor_downside_vol_liquidity_momentum,0.034414,0.032496,0.028928,0.031051,0.027315,-0.001919,-0.003568,-0.001444,-0.005180,0.242824,0.242504,0.311240,0.253811,0.346925,-0.000320,0.068736,0.011308,0.104421,-0.003703,-0.002996,-0.001708,0.000707,0.001995,0.002368,-0.027302,-0.034514,-0.014120,-0.007213,0.013181,0.009602,114,0.039208,0.559698,0.023677,0.289433,0.026990,0.333605,0.029951,0.389284,0.022890,0.286073,0.026694,0.301723,0.036207,0.534864,-0.001335,-0.017699,
