factor_name,display_name,rank_ic_close_改VWAP前,rank_ic_vwap_改VWAP后,rank_ic_vwap_行业中性,rank_ic_vwap_市值中性,rank_ic_vwap_行业市值双中性,变化_close到vwap,变化_vwap到行业中性,变化_vwap到市值中性,变化_vwap到双中性,rank_icir_close_改VWAP前,rank_icir_vwap_改VWAP后,rank_icir_vwap_行业中性,rank_icir_vwap_市值中性,rank_icir_vwap_行业市值双中性,变化_rankicir_close到vwap,变化_rankicir_vwap到行业中性,变化_rankicir_vwap到市值中性,变化_rankicir_vwap到双中性,rank_ic_2026_中性化前,rank_ic_2026_行业中性,rank_ic_2026_市值中性,变化_2026_原始到行业中性,变化_2026_原始到市值中性,变化_2026_原始到双中性,rank_icir_2026_中性化前,rank_icir_2026_行业中性,rank_icir_2026_市值中性,变化_rankicir_2026_原始到行业中性,变化_rankicir_2026_原始到市值中性,变化_rankicir_2026_原始到双中性,rank_ic_2026_交易日数,rank_ic_2019_行业市值双中性,rank_icir_2019_行业市值双中性,rank_ic_2020_行业市值双中性,rank_icir_2020_行业市值双中性,rank_ic_2021_行业市值双中性,rank_icir_2021_行业市值双中性,rank_ic_2022_行业市值双中性,rank_icir_2022_行业市值双中性,rank_ic_2023_行业市值双中性,rank_icir_2023_行业市值双中性,rank_ic_2024_行业市值双中性,rank_icir_2024_行业市值双中性,rank_ic_2025_行业市值双中性,rank_icir_2025_行业市值双中性,rank_ic_2026_行业市值双中性,rank_icir_2026_行业市值双中性,备注
factor_volume_adjusted_breakout_window_001,factor_volume_adjusted_breakout_window_001,0.031759,0.030923,0.012561,0.021533,0.013730,-0.000836,-0.018361,-0.009390,-0.017192,0.381705,0.390744,0.150039,0.151319,0.147001,0.009039,-0.240705,-0.239425,-0.243743,0.008772,0.002812,0.001483,-0.005959,-0.007289,-0.004461,0.100694,0.034099,0.012070,-0.066594,-0.088623,-0.049937,114,0.020339,0.314674,0.021389,0.367171,0.017798,0.220648,0.011886,0.119325,0.005099,0.048208,0.005916,0.043438,0.018627,0.217599,0.004311,0.050757,
factor_drawdown_atr_recovery,factor_drawdown_atr_recovery,0.030473,0.030834,0.021584,0.024452,0.016779,0.000362,-0.009251,-0.006382,-0.014055,0.208317,0.216637,0.235985,0.191039,0.212624,0.008320,0.019348,-0.025598,-0.004013,-0.011624,-0.000043,-0.007848,0.011582,0.003777,0.010942,-0.068940,-0.000504,-0.059666,0.068436,0.009274,0.059286,114,0.010708,0.144651,0.007667,0.097494,0.023888,0.350841,0.030491,0.375494,0.011333,0.153712,0.025936,0.259217,0.014245,0.200948,-0.000683,-0.009653,
factor_drawdown_atr_20_normalized,factor_drawdown_atr_20_normalized,0.030473,0.030834,0.021584,0.024452,0.016779,0.000362,-0.009251,-0.006382,-0.014055,0.208318,0.216637,0.235985,0.191039,0.212624,0.008320,0.019348,-0.025598,-0.004013,-0.011624,-0.000043,-0.007848,0.011582,0.003777,0.010942,-0.068940,-0.000504,-0.059666,0.068436,0.009274,0.059286,114,0.010708,0.144651,0.007667,0.097494,0.023888,0.350841,0.030491,0.375494,0.011333,0.153712,0.025936,0.259217,0.014245,0.200948,-0.000683,-0.009653,
factor_drawdown_atr_normalized_20,factor_drawdown_atr_normalized_20,0.030473,0.030834,0.021584,0.024452,0.016779,0.000362,-0.009251,-0.006382,-0.014055,0.208318,0.216637,0.235985,0.191039,0.212624,0.008320,0.019348,-0.025598,-0.004013,-0.011624,-0.000043,-0.007848,0.011582,0.003777,0.010942,-0.068940,-0.000504,-0.059666,0.068436,0.009274,0.059286,114,0.010708,0.144651,0.007667,0.097494,0.023888,0.350841,0.030491,0.375494,0.011333,0.153712,0.025936,0.259217,0.014245,0.200948,-0.000683,-0.009653,
factor_liquidity_range_gated_momentum_v6,factor_liquidity_range_gated_momentum_v6,0.033851,0.030768,0.025647,0.032477,0.026501,-0.003083,-0.005121,0.001709,-0.004267,0.231833,0.221232,0.275833,0.269733,0.352629,-0.010600,0.054600,0.048501,0.131397,0.004344,0.006020,0.004648,0.001676,0.000304,0.000865,0.031769,0.072255,0.039873,0.040487,0.008105,0.041947,114,0.030998,0.440733,0.029460,0.379227,0.029812,0.499410,0.023123,0.325160,0.020835,0.319160,0.025925,0.254048,0.035986,0.505761,0.005209,0.073716,
factor_volume_adjusted_momentum,weekly:factor_volume_adjusted_momentum,,0.030759,0.025422,0.031007,0.025915,,-0.005337,0.000248,-0.004844,,0.228620,0.270696,0.258890,0.327852,,0.042076,0.030271,0.099233,0.007776,0.007982,0.009046,0.000206,0.001271,0.003674,0.059863,0.089207,0.075059,0.029344,0.015197,0.075548,114,0.032635,0.426679,0.025561,0.305902,0.030351,0.449449,0.023096,0.307841,0.022517,0.315876,0.023462,0.228919,0.030535,0.456116,0.011449,0.135411,无close基线
factor_liquidity_range_gated_momentum_v5,factor_liquidity_range_gated_momentum_v5,0.033755,0.030750,0.025308,0.032518,0.026155,-0.003005,-0.005442,0.001768,-0.004595,0.232162,0.222030,0.274701,0.272090,0.351565,-0.010132,0.052671,0.050060,0.129535,0.004162,0.005811,0.004366,0.001648,0.000204,0.000774,0.030545,0.070550,0.037843,0.040005,0.007298,0.040214,114,0.030596,0.441339,0.029473,0.387715,0.029713,0.502856,0.022541,0.319898,0.020976,0.318888,0.025598,0.253873,0.034782,0.490212,0.004937,0.070760,
factor_volume_confirmed_momentum_clipped,weekly:factor_volume_confirmed_momentum_clipped,,0.030654,0.025099,0.031878,0.026076,,-0.005556,0.001224,-0.004578,,0.219889,0.266393,0.257499,0.332684,,0.046504,0.037610,0.112795,0.006035,0.005910,0.006584,-0.000124,0.000550,0.001724,0.044415,0.068194,0.054162,0.023778,0.009746,0.058156,114,0.030369,0.396510,0.028413,0.350935,0.030056,0.458341,0.025218,0.327332,0.018708,0.259527,0.026191,0.256368,0.032192,0.474211,0.007759,0.102572,无close基线
factor_volume_adjusted_breakout_v3,factor_volume_adjusted_breakout_v3,0.032443,0.030653,0.014371,0.024351,0.015072,-0.001789,-0.016282,-0.006302,-0.015581,0.370338,0.368937,0.185124,0.181948,0.178925,-0.001401,-0.183813,-0.186990,-0.190013,0.012907,0.001896,0.013817,-0.011011,0.000910,-0.008272,0.142198,0.026702,0.122887,-0.115497,-0.019311,-0.080084,114,0.027324,0.421275,0.023104,0.428967,0.013995,0.201140,0.010430,0.118888,0.005166,0.055266,0.012455,0.101978,0.019216,0.240473,0.004635,0.062114,
factor_volume_pressure_reversal,factor_volume_pressure_reversal,0.034538,0.030566,0.024952,0.031935,0.026027,-0.003972,-0.005614,0.001369,-0.004538,0.235542,0.220231,0.266888,0.259108,0.335137,-0.015311,0.046657,0.038877,0.114906,0.006184,0.005696,0.006628,-0.000487,0.000444,0.001271,0.045919,0.066870,0.054834,0.020951,0.008915,0.054204,114,0.030281,0.400064,0.028165,0.350178,0.029684,0.455218,0.024663,0.322396,0.019535,0.273900,0.026211,0.259325,0.032403,0.480707,0.007454,0.100123,
week2_vol_confirm_5d,week2:vol_confirm_5d,0.034538,0.030566,0.024952,0.031935,0.026027,-0.003972,-0.005614,0.001369,-0.004538,0.235542,0.220231,0.266888,0.259108,0.335137,-0.015311,0.046657,0.038877,0.114906,0.006184,0.005696,0.006628,-0.000487,0.000444,0.001271,0.045919,0.066870,0.054834,0.020951,0.008915,0.054204,114,0.030281,0.400064,0.028165,0.350178,0.029684,0.455218,0.024663,0.322396,0.019535,0.273900,0.026211,0.259325,0.032403,0.480707,0.007454,0.100123,
factor_volume_confirmed_momentum,factor_volume_confirmed_momentum,0.032685,0.030541,0.026048,0.031766,0.027022,-0.002144,-0.004493,0.001225,-0.003519,0.234975,0.231570,0.291446,0.271853,0.364861,-0.003405,0.059876,0.040284,0.133292,0.006976,0.006657,0.006797,-0.000320,-0.000180,-0.000514,0.054104,0.085762,0.060306,0.031658,0.006202,0.043646,114,0.028816,0.400223,0.028348,0.361414,0.028290,0.449343,0.026668,0.383286,0.021917,0.333162,0.028514,0.286803,0.036258,0.557528,0.006462,0.097750,
factor_crash_volume_rank,factor_crash_volume_rank,0.032685,0.030541,0.026048,0.031766,0.027022,-0.002144,-0.004493,0.001225,-0.003519,0.234975,0.231570,0.291446,0.271853,0.364861,-0.003405,0.059876,0.040284,0.133292,0.006976,0.006657,0.006797,-0.000320,-0.000180,-0.000514,0.054104,0.085762,0.060306,0.031658,0.006202,0.043646,114,0.028816,0.400223,0.028348,0.361414,0.028290,0.449343,0.026668,0.383286,0.021917,0.333162,0.028514,0.286803,0.036258,0.557528,0.006462,0.097750,
factor_volume_confirmed_momentum_v3,factor_volume_confirmed_momentum_v3,0.032685,0.030541,0.026048,0.031766,0.027022,-0.002144,-0.004493,0.001225,-0.003519,0.234975,0.231570,0.291446,0.271853,0.364861,-0.003405,0.059876,0.040284,0.133292,0.006976,0.006657,0.006797,-0.000320,-0.000180,-0.000514,0.054104,0.085762,0.060306,0.031658,0.006202,0.043646,114,0.028816,0.400223,0.028348,0.361414,0.028290,0.449343,0.026668,0.383286,0.021917,0.333162,0.028514,0.286803,0.036258,0.557528,0.006462,0.097750,
week2_vol_gated_momentum_ratio,week2:vol_gated_momentum_ratio,0.034373,0.030353,0.024289,0.031891,0.025399,-0.004020,-0.006064,0.001538,-0.004953,0.238820,0.222474,0.267675,0.264538,0.336966,-0.016346,0.045201,0.042064,0.114492,0.005632,0.005622,0.005695,-0.000010,0.000062,0.001458,0.042640,0.068095,0.048239,0.025456,0.005600,0.057056,114,0.029592,0.410441,0.028062,0.369640,0.029857,0.467959,0.024096,0.320694,0.019604,0.273172,0.025193,0.256512,0.030021,0.457013,0.007091,0.099696,
factor_vol_gated_momentum_volume_weighted,weekly:factor_vol_gated_momentum_volume_weighted,,0.030337,0.024292,0.031862,0.025390,,-0.006045,0.001525,-0.004947,,0.222350,0.267726,0.264330,0.336952,,0.045376,0.041980,0.114601,0.005626,0.005613,0.005694,-0.000013,0.000068,0.001454,0.042593,0.067978,0.048233,0.025385,0.005641,0.056949,114,0.029597,0.411907,0.027991,0.368574,0.029831,0.466917,0.024113,0.321071,0.019611,0.273290,0.025194,0.256552,0.030026,0.457026,0.007080,0.099541,无close基线
factor_volume_price_divergence_cross_mut,factor_volume_price_divergence_cross_mut,0.035245,0.030185,0.027673,0.030723,0.028374,-0.005060,-0.002512,0.000539,-0.001811,0.246571,0.220638,0.282623,0.239568,0.318301,-0.025932,0.061985,0.018930,0.097663,-0.001442,-0.001565,-0.002599,-0.000123,-0.001157,-0.000869,-0.010622,-0.016096,-0.020129,-0.005475,-0.009507,-0.014106,114,0.035453,0.473856,0.029119,0.288464,0.032081,0.422980,0.023088,0.241706,0.023235,0.284995,0.034666,0.323503,0.035470,0.467614,-0.002311,-0.024728,
factor_liquidity_mom_simple_2_mutated,factor_liquidity_mom_simple_2_mutated,0.035132,0.030153,0.021702,0.028651,0.021375,-0.004980,-0.008450,-0.001501,-0.008777,0.246676,0.221263,0.274959,0.228687,0.282276,-0.025414,0.053696,0.007424,0.061013,-0.001000,0.001103,0.005241,0.002103,0.006241,0.004658,-0.007379,0.015775,0.044962,0.023154,0.052341,0.058121,114,0.032239,0.487913,0.023243,0.332157,0.026984,0.393608,0.010767,0.141491,0.019964,0.255175,0.013263,0.149068,0.031576,0.408175,0.003659,0.050742,
factor_volume_confirmed_momentum_crossover_v1,factor_volume_confirmed_momentum_crossover_v1,0.032294,0.030107,0.026004,0.031135,0.026818,-0.002187,-0.004103,0.001028,-0.003289,0.230327,0.225392,0.285953,0.262663,0.355799,-0.004935,0.060561,0.037271,0.130408,0.006260,0.007049,0.005874,0.000788,-0.000387,0.000324,0.048585,0.088875,0.051767,0.040290,0.003182,0.049221,114,0.028252,0.381814,0.027872,0.348504,0.028993,0.455101,0.026300,0.365469,0.021529,0.324965,0.027452,0.274352,0.036825,0.551786,0.006585,0.097806,
factor_directional_vol_volbase25_smooth_dir_range10,factor_directional_vol_volbase25_smooth_dir_range10,0.037518,0.030076,0.024010,0.031530,0.025467,-0.007443,-0.006065,0.001455,-0.004608,0.263996,0.218564,0.264987,0.263240,0.344668,-0.045432,0.046422,0.044675,0.126104,0.005629,0.005609,0.005204,-0.000020,-0.000426,0.002897,0.044109,0.069803,0.045654,0.025694,0.001544,0.069912,114,0.033801,0.459758,0.031787,0.414478,0.033232,0.527866,0.020848,0.301260,0.021924,0.333894,0.022326,0.232462,0.023523,0.362235,0.008526,0.114022,
factor_vol_gated_herding_crossover,factor_vol_gated_herding_crossover,0.033398,0.030074,0.025117,0.030828,0.025733,-0.003324,-0.004957,0.000754,-0.004341,0.233694,0.220244,0.269968,0.253830,0.338298,-0.013449,0.049724,0.033586,0.118054,0.003346,0.005393,0.002630,0.002047,-0.000717,0.001185,0.025316,0.066059,0.022476,0.040742,-0.002840,0.037315,114,0.033740,0.452765,0.029975,0.382293,0.028550,0.445610,0.021520,0.291609,0.019802,0.295187,0.026632,0.268607,0.031103,0.451147,0.004531,0.062632,
factor_crossover_vol_impact_trend_gated,factor_crossover_vol_impact_trend_gated,0.028146,0.030036,0.024333,0.029736,0.024114,0.001890,-0.005703,-0.000300,-0.005922,0.236660,0.272936,0.332035,0.287257,0.359170,0.036276,0.059098,0.014320,0.086233,0.008875,0.005513,0.007713,-0.003363,-0.001163,-0.004907,0.083924,0.083311,0.077395,-0.000612,-0.006529,-0.020356,114,0.035467,0.538654,0.015333,0.218292,0.023287,0.357996,0.025090,0.414398,0.020181,0.321495,0.023561,0.304110,0.035320,0.546689,0.003968,0.063568,
factor_volume_confirmed_momentum_crossover_v2,factor_volume_confirmed_momentum_crossover_v2,0.032015,0.029935,0.025880,0.030975,0.026734,-0.002080,-0.004054,0.001041,-0.003201,0.228196,0.224049,0.284700,0.261537,0.355106,-0.004148,0.060651,0.037488,0.131058,0.006197,0.007024,0.006114,0.000826,-0.000084,0.000561,0.048111,0.089643,0.053995,0.041532,0.005884,0.053728,114,0.028059,0.377477,0.028466,0.359650,0.028766,0.453327,0.026313,0.366967,0.021429,0.323507,0.027131,0.268996,0.036344,0.546856,0.006758,0.101839,
factor_crash_volume_gate,factor_crash_volume_gate,0.031588,0.029909,0.020920,0.029279,0.022092,-0.001679,-0.008988,-0.000629,-0.007816,0.293493,0.294922,0.286479,0.291458,0.336134,0.001429,-0.008444,-0.003464,0.041212,0.008148,0.004365,0.008936,-0.003783,0.000788,-0.000195,0.081593,0.076509,0.098864,-0.005084,0.017271,0.067745,114,0.024735,0.414482,0.024689,0.432542,0.021515,0.385745,0.022429,0.348113,0.017971,0.256987,0.019903,0.221246,0.030054,0.496559,0.007953,0.149338,
factor_downside_vol_asymmetry_smoothed,factor_downside_vol_asymmetry_smoothed,0.030990,0.029817,0.027833,0.028656,0.026507,-0.001173,-0.001983,-0.001161,-0.003309,0.251555,0.254473,0.323546,0.267975,0.361873,0.002918,0.069074,0.013503,0.107401,0.002144,0.002242,0.004069,0.000099,0.001925,0.001415,0.018152,0.026673,0.037159,0.008521,0.019007,0.028235,114,0.034424,0.550181,0.018394,0.251463,0.022583,0.290985,0.033364,0.500006,0.023293,0.327707,0.031275,0.370774,0.033736,0.490098,0.003559,0.046387,
factor_lagret_volratio_gated_smooth,factor_809,0.030727,0.029716,0.023229,0.031618,0.025182,-0.001011,-0.006487,0.001902,-0.004534,0.296312,0.306383,0.332737,0.337221,0.367419,0.010071,0.026353,0.030838,0.061036,0.016680,0.006203,0.013602,-0.010477,-0.003078,-0.012876,0.191420,0.113747,0.147032,-0.077673,-0.044388,-0.130765,114,0.027555,0.445348,0.018525,0.301057,0.019333,0.340453,0.028105,0.497859,0.021321,0.341503,0.032416,0.322723,0.039125,0.574715,0.003804,0.060654,
factor_adaptive_vol_directional_smooth_range10,extra20:factor_adaptive_vol_directional_smooth_range10,,0.029679,0.023270,0.031244,0.024787,,-0.006409,0.001565,-0.004892,,0.215251,0.255681,0.260823,0.333858,,0.040430,0.045572,0.118607,0.005587,0.005643,0.005035,0.000057,-0.000552,0.002985,0.043668,0.069514,0.044054,0.025847,0.000386,0.068634,114,0.030206,0.430083,0.031481,0.410342,0.033071,0.522559,0.020656,0.297885,0.021616,0.322647,0.021805,0.223482,0.023397,0.354229,0.008571,0.112301,无close基线
factor_asym_vol_down_up_volatility_gated,factor_asym_vol_down_up_volatility_gated,0.023528,0.029511,0.022961,0.024314,0.021408,0.005983,-0.006550,-0.005197,-0.008103,0.293034,0.388028,0.381425,0.289379,0.407432,0.094994,-0.006603,-0.098649,0.019404,0.009871,0.005830,0.009829,-0.004041,-0.000042,-0.003145,0.134863,0.119420,0.164694,-0.015443,0.029831,0.033032,114,0.027183,0.700612,0.019085,0.368887,0.018066,0.424112,0.019494,0.393720,0.019164,0.403486,0.027811,0.352375,0.026616,0.525387,0.006726,0.167895,
factor_ema_trend_simple,factor_865,0.029615,0.029374,0.024172,0.026937,0.021653,-0.000241,-0.005202,-0.002436,-0.007721,0.184503,0.190555,0.210555,0.193252,0.222848,0.006052,0.020001,0.002698,0.032293,-0.002147,0.000168,0.000099,0.002315,0.002246,0.004063,-0.014515,0.001701,0.000758,0.016216,0.015274,0.037260,114,0.025488,0.324188,0.013615,0.156870,0.018988,0.177388,0.026270,0.279886,0.014032,0.141397,0.026981,0.219496,0.035463,0.405229,0.001917,0.022745,
week2_inverse_vol_momentum_v3,week2:inverse_vol_momentum_v3,0.033521,0.029323,0.026355,0.030357,0.027236,-0.004199,-0.002967,0.001034,-0.002087,0.219635,0.202298,0.244569,0.233340,0.304407,-0.017336,0.042271,0.031042,0.102109,0.004416,0.004153,0.003509,-0.000263,-0.000908,-0.001197,0.031290,0.041595,0.026864,0.010305,-0.004426,0.004612,114,0.029882,0.346325,0.029388,0.305887,0.030816,0.406698,0.024741,0.281747,0.021393,0.279384,0.030502,0.260517,0.035218,0.459212,0.003220,0.035902,
factor_volume_abnormality_range_interaction,factor_volume_abnormality_range_interaction,0.044522,0.029235,0.026233,0.028827,0.026243,-0.015288,-0.003002,-0.000408,-0.002992,0.458445,0.324371,0.442473,0.336893,0.475658,-0.134074,0.118102,0.012522,0.151287,0.019258,0.012008,0.016982,-0.007250,-0.002276,-0.008345,0.216499,0.192569,0.193588,-0.023930,-0.022911,-0.041326,114,0.037649,0.767171,0.026017,0.423022,0.020043,0.384085,0.023862,0.487130,0.022606,0.485865,0.024824,0.383508,0.035861,0.672895,0.010913,0.175173,
factor_resvol_smoothed_trend,factor_resvol_smoothed_trend,0.030428,0.029156,0.026966,0.029371,0.027102,-0.001272,-0.002189,0.000216,-0.002054,0.223827,0.230222,0.278405,0.256986,0.331697,0.006395,0.048183,0.026764,0.101475,0.005016,0.001013,0.004781,-0.004003,-0.000235,-0.004089,0.041021,0.011290,0.041969,-0.029731,0.000948,-0.029762,114,0.037048,0.490135,0.024049,0.279012,0.025319,0.320579,0.021521,0.261122,0.032908,0.423312,0.031403,0.339127,0.030131,0.413397,0.000927,0.011259,
factor_adx_trend_vol_ema,factor_adx_trend_vol_ema,0.030807,0.029098,0.026021,0.028750,0.025796,-0.001709,-0.003078,-0.000348,-0.003302,0.282163,0.289438,0.345661,0.308235,0.388046,0.007275,0.056223,0.018797,0.098607,0.006063,0.001239,0.006002,-0.004824,-0.000061,-0.004278,0.058795,0.016837,0.063563,-0.041957,0.004769,-0.031954,114,0.030414,0.509025,0.024195,0.350040,0.026432,0.380551,0.023585,0.363203,0.024374,0.371536,0.031529,0.423656,0.031791,0.559355,0.001785,0.026840,
factor_vol_gated_herding_mutated,factor_vol_gated_herding_mutated,0.035279,0.028896,0.023891,0.029911,0.024445,-0.006383,-0.005006,0.001015,-0.004452,0.255430,0.219932,0.281738,0.257508,0.345976,-0.035498,0.061806,0.037576,0.126044,0.002180,0.003888,0.002758,0.001709,0.000579,0.001496,0.016636,0.051309,0.024081,0.034673,0.007445,0.038057,114,0.030132,0.416797,0.028364,0.374771,0.029583,0.503091,0.018759,0.273303,0.016599,0.254493,0.028158,0.330230,0.029643,0.462215,0.003676,0.054694,
factor_negative_skew_stress_gated,factor_805,0.027155,0.028762,0.025417,0.028207,0.024747,0.001606,-0.003344,-0.000555,-0.004014,0.350199,0.389470,0.455173,0.436559,0.548725,0.039272,0.065703,0.047089,0.159255,0.021776,0.015536,0.024114,-0.006240,0.002338,-0.003264,0.332248,0.337834,0.380526,0.005587,0.048278,0.133351,114,0.025745,0.659801,0.021084,0.451269,0.022908,0.595408,0.028280,0.603953,0.028115,0.726575,0.022310,0.376584,0.027741,0.623047,0.018512,0.465598,
factor_herding_simple,weekly:factor_herding_simple,,0.028731,0.025874,0.030298,0.027290,,-0.002857,0.001567,-0.001442,,0.230491,0.289259,0.266142,0.355479,,0.058768,0.035652,0.124989,0.016746,0.015127,0.012984,-0.001619,-0.003762,-0.005026,0.139977,0.184355,0.113800,0.044378,-0.026177,0.011642,114,0.029264,0.412860,0.028182,0.357616,0.030997,0.419794,0.028103,0.381319,0.026961,0.380764,0.028133,0.290127,0.026697,0.396578,0.011720,0.151620,无close基线
factor_drawdown_std60_normalized,factor_drawdown_std60_normalized,0.028497,0.028159,0.025680,0.026719,0.024045,-0.000338,-0.002479,-0.001440,-0.004114,0.189956,0.193447,0.227384,0.191803,0.241098,0.003491,0.033936,-0.001644,0.047651,-0.015866,-0.010478,-0.014815,0.005388,0.001051,0.006772,-0.092138,-0.084048,-0.093543,0.008090,-0.001405,0.005584,114,0.010731,0.125450,0.008690,0.083512,0.032169,0.326455,0.038084,0.321449,0.036134,0.438887,0.034651,0.331742,0.023555,0.262494,-0.009093,-0.086554,
factor_volume_gated_momentum_mutated_v3,factor_volume_gated_momentum_mutated_v3,0.032029,0.027980,0.024448,0.028881,0.025101,-0.004048,-0.003532,0.000901,-0.002880,0.221202,0.202597,0.252181,0.235153,0.316904,-0.018605,0.049584,0.032556,0.114307,0.003372,0.004449,0.002483,0.001078,-0.000889,0.000084,0.024984,0.050345,0.020333,0.025361,-0.004651,0.019217,114,0.026662,0.341923,0.027235,0.319782,0.029112,0.433574,0.022746,0.296937,0.020325,0.296325,0.027751,0.271182,0.032035,0.464413,0.003455,0.044201,
factor_momentum_volratio,factor_momentum_volratio,0.031615,0.027698,0.024740,0.028597,0.025415,-0.003917,-0.002957,0.000899,-0.002283,0.212689,0.195638,0.242169,0.226033,0.302937,-0.017050,0.046530,0.030394,0.107299,0.002701,0.003459,0.001691,0.000758,-0.001009,-0.000201,0.019327,0.035951,0.013282,0.016624,-0.006045,0.009817,114,0.024002,0.311903,0.029578,0.328718,0.028791,0.408266,0.022842,0.274958,0.019511,0.266828,0.029324,0.274096,0.034241,0.452301,0.002500,0.029144,
factor_drawdown_atr_normalized_v2,factor_drawdown_atr_normalized_v2,0.026703,0.027488,0.019700,0.022648,0.016060,0.000785,-0.007788,-0.004840,-0.011427,0.181365,0.191322,0.209857,0.174127,0.204118,0.009957,0.018535,-0.017195,0.012796,-0.014021,-0.002011,-0.007612,0.012009,0.006408,0.014287,-0.082844,-0.022631,-0.054568,0.060213,0.028276,0.086452,114,0.006820,0.090253,0.007364,0.092866,0.024223,0.335415,0.028857,0.336800,0.013786,0.188817,0.023231,0.256116,0.013416,0.191869,0.000266,0.003608,
factor_adaptive_momentum_gate_v2,weekly:factor_adaptive_momentum_gate_v2,,0.027374,0.023715,0.025290,0.022817,,-0.003659,-0.002084,-0.004557,,0.202581,0.236888,0.201519,0.259573,,0.034307,-0.001062,0.056992,0.005369,0.004619,0.003453,-0.000750,-0.001916,-0.002457,0.041539,0.050134,0.028182,0.008595,-0.013356,-0.007407,114,0.024457,0.303034,0.012936,0.136447,0.022245,0.247683,0.027848,0.324132,0.021443,0.277279,0.031202,0.290355,0.028993,0.396120,0.002911,0.034131,无close基线
week2_dir_vol_volume_25d,week2:dir_vol_volume_25d,0.036943,0.026290,0.024221,0.027218,0.025190,-0.010653,-0.002070,0.000928,-0.001100,0.257276,0.185574,0.253273,0.216171,0.315838,-0.071701,0.067699,0.030597,0.130263,0.012364,0.010237,0.009787,-0.002127,-0.002577,-0.003986,0.094072,0.125818,0.078383,0.031746,-0.015689,0.018372,114,0.024763,0.342511,0.026593,0.302458,0.026224,0.351408,0.025431,0.340335,0.027326,0.401394,0.028681,0.276532,0.025226,0.348617,0.008378,0.112444,
factor_smoothed_atr_ratio_gated,factor_smoothed_atr_ratio_gated,0.026911,0.026222,0.018149,0.024139,0.018270,-0.000690,-0.008073,-0.002083,-0.007952,0.276553,0.280196,0.328636,0.252837,0.349767,0.003643,0.048439,-0.027359,0.069571,0.014251,0.013510,0.016625,-0.000741,0.002374,-0.000627,0.129272,0.206175,0.184781,0.076903,0.055509,0.110478,114,0.019994,0.502964,0.013108,0.241396,0.014610,0.281700,0.019017,0.363130,0.013509,0.250148,0.023404,0.417321,0.026842,0.549848,0.013623,0.239750,
factor_volume_stress_adjusted_momentum_robust,factor_volume_stress_adjusted_momentum_robust,0.023694,0.026027,0.019795,0.027017,0.020331,0.002333,-0.006232,0.000990,-0.005695,0.277506,0.341668,0.308061,0.374396,0.337535,0.064162,-0.033607,0.032729,-0.004133,-0.000530,-0.002900,-0.000753,-0.002369,-0.000222,-0.002643,-0.007499,-0.056271,-0.011292,-0.048772,-0.003793,-0.058442,114,0.026764,0.511499,0.020115,0.425064,0.021216,0.396882,0.022585,0.383242,0.012139,0.183599,0.025871,0.332709,0.025635,0.420060,-0.003173,-0.065941,
factor_pressure_tanh,weekly:factor_pressure_tanh,,0.025961,0.023810,0.025486,0.023777,,-0.002151,-0.000475,-0.002183,,0.243054,0.321419,0.263719,0.372128,,0.078365,0.020665,0.129074,0.018351,0.013269,0.013781,-0.005082,-0.004570,-0.007828,0.151234,0.160909,0.123016,0.009676,-0.028218,-0.009078,114,0.027763,0.472295,0.027254,0.397533,0.024307,0.407245,0.025579,0.437800,0.019022,0.336619,0.024819,0.338367,0.024204,0.381866,0.010523,0.142155,无close基线
factor_regime_switch_simple,factor_regime_switch_simple,0.023993,0.025044,0.022242,0.024196,0.021435,0.001051,-0.002802,-0.000847,-0.003608,0.195262,0.223280,0.282172,0.234108,0.314962,0.028018,0.058892,0.010828,0.091683,-0.006982,-0.007573,-0.004118,-0.000591,0.002864,0.002476,-0.058884,-0.108950,-0.040912,-0.050066,0.017972,-0.018759,114,0.031450,0.429821,0.019567,0.300743,0.020056,0.345240,0.018239,0.298963,0.021228,0.365717,0.026436,0.282422,0.025249,0.414032,-0.004505,-0.077643,
factor_simplified_robust_volume_momentum,factor_simplified_robust_volume_momentum,0.022223,0.024840,0.020020,0.025761,0.020709,0.002618,-0.004820,0.000921,-0.004131,0.251319,0.317188,0.330295,0.362975,0.385525,0.065869,0.013107,0.045787,0.068337,-0.002713,-0.003836,-0.002279,-0.001124,0.000434,-0.001156,-0.038252,-0.081647,-0.034294,-0.043394,0.003958,-0.051454,114,0.025511,0.499450,0.018552,0.380615,0.018532,0.406523,0.023928,0.512814,0.015183,0.294387,0.028621,0.378534,0.026921,0.531820,-0.003869,-0.089707,
factor_volume_persistence_momentum_robust,factor_volume_persistence_momentum_robust,0.022954,0.024723,0.018824,0.025663,0.019474,0.001769,-0.005899,0.000940,-0.005249,0.268545,0.324961,0.306923,0.364920,0.347387,0.056416,-0.018038,0.039959,0.022426,-0.002011,-0.003315,-0.001929,-0.001304,0.000082,-0.001343,-0.028398,-0.068638,-0.029032,-0.040241,-0.000635,-0.044192,114,0.026051,0.507159,0.018967,0.390545,0.018061,0.376153,0.021737,0.417059,0.012060,0.206194,0.026400,0.360021,0.024756,0.440908,-0.003353,-0.072590,
