,group
Start,2017-01-11 00:00:00
End,2026-06-29 00:00:00
Period,2295 days 00:00:00
Start Value,10000000.0
End Value,14579566.095176168
Total Return [%],45.79566095176167
Benchmark Return [%],47.75591542960014
Max Gross Exposure [%],99.6161002071764
Total Fees Paid,7214692.901977847
Max Drawdown [%],47.06225097434651
Max Drawdown Duration,1410 days 00:00:00
Total Trades,15935
Total Closed Trades,15915
Total Open Trades,20
Open Trade PnL,-705641.8975751627
Win Rate [%],55.0612629594722
Best Trade [%],62.299518367347005
Worst Trade [%],-31.090495548090917
Avg Winning Trade [%],4.035900228349193
Avg Losing Trade [%],-3.9275228116327123
Avg Winning Trade Duration,3 days 15:02:09.407737
Avg Losing Trade Duration,6 days 00:54:33.825503
Profit Factor,1.040488208436867
Expectancy,332.0897262174676
Sharpe Ratio,0.35974411228329667
Calmar Ratio,0.1313125700301559
Omega Ratio,1.0518050836360793
Sortino Ratio,0.5055035690953774
