datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,side
2026-08-14,601068.SH,0.7752470832002666,197,3.0,5208,建筑装饰,其他,2026-08-14,exit_on_0817
2026-08-14,003006.SZ,0.7681217597311862,197,7.0,5208,美容护理,消费,2026-08-14,exit_on_0817
2026-08-14,688219.SH,0.7677601793555457,197,9.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,600469.SH,0.7648658940683662,197,10.0,5208,汽车,其他,2026-08-14,exit_on_0817
2026-08-14,000591.SZ,0.7620441016422593,197,11.0,5208,公用事业,其他,2026-08-14,exit_on_0817
2026-08-14,603508.SH,0.7580068618315572,197,15.0,5208,计算机,科技,2026-08-14,exit_on_0817
2026-08-14,603822.SH,0.7539860021901511,197,17.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,300737.SZ,0.7495794530166511,197,20.0,5208,建筑材料,其他,2026-08-14,exit_on_0817
2026-08-14,002183.SZ,0.748682978593152,197,22.0,5208,商贸零售,消费,2026-08-14,exit_on_0817
2026-08-14,603279.SH,0.747048976036698,197,24.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,603416.SH,0.7469685494071471,197,25.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,600866.SH,0.7422990982008774,197,29.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,605016.SH,0.7417923274006013,197,30.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,000727.SZ,0.7414405449290207,197,31.0,5208,电子,科技,2026-08-14,exit_on_0817
2026-08-14,002868.SZ,0.7408088604993786,197,33.0,5208,农林牧渔,消费,2026-08-14,exit_on_0817
2026-08-14,300069.SZ,0.7397861541547714,197,35.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,600269.SH,0.7388633463060209,197,37.0,5208,交通运输,其他,2026-08-14,exit_on_0817
2026-08-14,001237.SZ,0.7369151259319606,196,38.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,603868.SH,0.7368215461079132,197,39.0,5208,家用电器,消费,2026-08-14,exit_on_0817
2026-08-14,601881.SH,0.7343696575738584,197,42.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,603194.SH,0.7334669262973692,197,43.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,600075.SH,0.7327508586519318,197,45.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,002001.SZ,0.7326946342618768,197,47.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,688156.SH,0.7317798517653908,197,49.0,5208,农林牧渔,消费,2026-08-14,exit_on_0817
2026-08-14,600062.SH,0.7316395861557545,197,50.0,5208,医药生物,其他,2026-08-14,exit_on_0817
2026-08-14,000027.SZ,0.7313950249924068,197,51.0,5208,公用事业,其他,2026-08-14,exit_on_0817
