datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,ret_0818
2026-08-14,600167.SH,0.7256175709221977,197,69.0,5208,公用事业,其他,2026-08-14,-0.010563380281690127
2026-08-14,000927.SZ,0.7255904562198511,197,70.0,5208,机械设备,其他,2026-08-14,-0.004115226337448652
2026-08-14,600688.SH,0.7254865085802485,197,71.0,5208,石油石化,其他,2026-08-14,0.007117437722419906
2026-08-14,688041.SH,0.7251812010873764,197,73.0,5208,电子,科技,2026-08-14,-0.030193905817174627
2026-08-14,688680.SH,0.724755068100143,197,74.0,5208,电气设备,其他,2026-08-14,-0.009604519774011222
2026-08-14,688707.SH,0.7242832100615326,197,75.0,5208,电气设备,其他,2026-08-14,-0.020541549953314697
2026-08-14,601319.SH,0.7241972180198981,197,76.0,5208,非银金融,其他,2026-08-14,0.0
2026-08-14,300839.SZ,0.7240982779492492,197,77.0,5208,石油石化,其他,2026-08-14,0.005545286506469571
2026-08-14,600470.SH,0.7238344500926474,197,79.0,5208,化工,其他,2026-08-14,0.023214285714285854
2026-08-14,603272.SH,0.7237476304483124,197,80.0,5208,轻工制造,消费,2026-08-14,-0.05581395348837204
2026-08-14,600187.SH,0.7234775752469567,197,81.0,5208,环保,其他,2026-08-14,-0.007407407407407418
2026-08-14,600416.SH,0.7234060273663688,197,82.0,5208,电气设备,其他,2026-08-14,-0.022246941045606317
2026-08-14,601065.SH,0.7232439604872382,197,83.0,5208,化工,其他,2026-08-14,-0.0014705882352941124
2026-08-14,300867.SZ,0.7232398567548184,197,84.0,5208,环保,其他,2026-08-14,0.059038344491783246
2026-08-14,600859.SH,0.7231842946190657,197,85.0,5208,商贸零售,消费,2026-08-14,-0.004016064257028162
2026-08-14,002136.SZ,0.7227452161159353,197,87.0,5208,化工,其他,2026-08-14,-0.018638573743922193
2026-08-14,603915.SH,0.7213349823006295,197,90.0,5208,机械设备,其他,2026-08-14,0.010924981791696986
2026-08-14,688408.SH,0.7211675363864454,197,91.0,5208,电气设备,其他,2026-08-14,-0.01277235161532686
2026-08-14,002601.SZ,0.7211652069086494,197,92.0,5208,化工,其他,2026-08-14,-0.02541296060991105
2026-08-14,002011.SZ,0.7211547647566232,197,93.0,5208,家用电器,消费,2026-08-14,-0.004930966469428033
2026-08-14,603098.SH,0.7209884232346205,197,94.0,5208,建筑装饰,其他,2026-08-14,0.004812319538017196
2026-08-14,603293.SH,0.720767173823754,197,95.0,5208,汽车,其他,2026-08-14,-0.013955984970477564
2026-08-14,002034.SZ,0.7205789140651739,197,97.0,5208,环保,其他,2026-08-14,0.0014204545454545858
2026-08-14,002736.SZ,0.7203006246382342,197,98.0,5208,非银金融,其他,2026-08-14,-0.007968127490039723
2026-08-14,601117.SH,0.7199836709089086,197,100.0,5208,建筑装饰,其他,2026-08-14,0.009421265141319024
