datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,ret_0818
2026-08-17,600930.SH,0.8153289021685943,197,1.0,5208,公用事业,其他,2026-08-17,-0.007389162561576179
2026-08-17,603021.SH,0.79301370251434,197,2.0,5208,轻工制造,消费,2026-08-17,-0.09185441941074513
2026-08-17,000404.SZ,0.790728188867248,197,3.0,5208,家用电器,消费,2026-08-17,-0.0014025245441794398
2026-08-17,000791.SZ,0.7871472500402549,197,4.0,5208,公用事业,其他,2026-08-17,-0.022546419098143256
2026-08-17,300910.SZ,0.786028040151545,197,5.0,5208,化工,其他,2026-08-17,-0.004791743457427167
2026-08-17,301632.SZ,0.7827523136385677,197,6.0,5208,社会服务,消费,2026-08-17,0.014388489208633004
2026-08-17,300140.SZ,0.7827334625733376,197,7.0,5208,环保,其他,2026-08-17,0.007476635514018781
2026-08-17,605166.SH,0.7789961646251582,197,8.0,5208,化工,其他,2026-08-17,-0.0117647058823529
2026-08-17,000016.SZ,0.7781017731817227,197,9.0,5208,家用电器,消费,2026-08-17,-0.004166666666666541
2026-08-17,688089.SH,0.7776454148907337,197,10.0,5208,化工,其他,2026-08-17,-0.015544041450777257
2026-08-17,600285.SH,0.7758835679414433,197,11.0,5208,医药生物,其他,2026-08-17,0.012314007183170883
2026-08-17,601668.SH,0.77578874567928,197,12.0,5208,建筑装饰,其他,2026-08-17,0.0
2026-08-17,601901.SH,0.7748048189046955,197,13.0,5208,非银金融,其他,2026-08-17,-0.007256894049346818
2026-08-17,688708.SH,0.7722618327128348,197,14.0,5208,国防军工,其他,2026-08-17,-0.025982678214523713
2026-08-17,603568.SH,0.7682409453878267,197,15.0,5208,环保,其他,2026-08-17,0.015582655826558378
2026-08-17,002053.SZ,0.767646733926755,197,16.0,5208,公用事业,其他,2026-08-17,0.050429184549356076
2026-08-17,000401.SZ,0.7672333886422141,197,17.0,5208,建筑材料,其他,2026-08-17,-0.005633802816901401
2026-08-17,002608.SZ,0.7642217834429439,197,18.0,5208,公用事业,其他,2026-08-17,-0.014005602240896309
2026-08-17,000966.SZ,0.7640651527096517,197,19.0,5208,公用事业,其他,2026-08-17,-0.012195121951219523
2026-08-17,603693.SH,0.7631270414610835,197,20.0,5208,公用事业,其他,2026-08-17,-0.016963528413910023
2026-08-17,603100.SH,0.762727148794353,197,21.0,5208,机械设备,其他,2026-08-17,0.0
2026-08-17,603053.SH,0.7623576909647672,197,22.0,5208,公用事业,其他,2026-08-17,0.004602991944764101
2026-08-17,300470.SZ,0.7622292335461613,197,23.0,5208,机械设备,其他,2026-08-17,0.0038637161924832686
2026-08-17,002027.SZ,0.7621375253815479,197,24.0,5208,传媒,科技,2026-08-17,0.002020202020202033
2026-08-17,600166.SH,0.760774890273216,197,25.0,5208,汽车,其他,2026-08-17,-0.0068728522336769515
2026-08-17,300682.SZ,0.7607298765579593,197,26.0,5208,计算机,科技,2026-08-17,-0.03529411764705881
2026-08-17,001965.SZ,0.7604902593107848,197,27.0,5208,交通运输,其他,2026-08-17,0.00547045951859948
2026-08-17,688033.SH,0.7596543696672342,197,28.0,5208,机械设备,其他,2026-08-17,0.0016420361247946325
2026-08-17,601018.SH,0.7585885858169353,197,29.0,5208,交通运输,其他,2026-08-17,0.003012048192771122
2026-08-17,000157.SZ,0.7576816306643471,197,30.0,5208,机械设备,其他,2026-08-17,0.0
2026-08-17,300047.SZ,0.7567851421720949,197,31.0,5208,计算机,科技,2026-08-17,-0.018575851393188847
2026-08-17,600170.SH,0.7565040367246961,197,32.0,5208,建筑装饰,其他,2026-08-17,0.0
2026-08-17,002638.SZ,0.7563578960982755,197,33.0,5208,家用电器,消费,2026-08-17,0.10000000000000009
2026-08-17,600035.SH,0.7557720756894121,197,34.0,5208,交通运输,其他,2026-08-17,-0.00588235294117645
2026-08-17,600023.SH,0.7556972735280634,197,35.0,5208,公用事业,其他,2026-08-17,-0.004089979550102152
2026-08-17,600735.SH,0.7553532042572599,197,36.0,5208,纺织服饰,消费,2026-08-17,-0.014876033057851235
2026-08-17,003035.SZ,0.7550772895122811,197,37.0,5208,公用事业,其他,2026-08-17,-0.016513761467889854
2026-08-17,600163.SH,0.7550218111984669,197,38.0,5208,公用事业,其他,2026-08-17,-0.011741682974559797
2026-08-17,000993.SZ,0.7548482258381771,197,39.0,5208,公用事业,其他,2026-08-17,-0.009960159362549792
2026-08-17,600221.SH,0.7544779609300863,197,40.0,5208,交通运输,其他,2026-08-17,0.0
2026-08-17,002152.SZ,0.7542365094066957,197,41.0,5208,计算机,科技,2026-08-17,-0.016309887869520923
2026-08-17,601800.SH,0.7541355297013455,197,42.0,5208,建筑装饰,其他,2026-08-17,-0.006768189509306244
2026-08-17,600053.SH,0.754061400076642,197,43.0,5208,非银金融,其他,2026-08-17,-0.009762900976290179
2026-08-17,000488.SZ,0.7531525584761678,197,44.0,5208,轻工制造,消费,2026-08-17,-0.010526315789473717
2026-08-17,603815.SH,0.7528496630086551,197,45.0,5208,建筑装饰,其他,2026-08-17,-0.013035381750465591
2026-08-17,600115.SH,0.7520616967507744,197,46.0,5208,交通运输,其他,2026-08-17,-0.008498583569405027
2026-08-17,000543.SZ,0.7514164317849139,197,47.0,5208,公用事业,其他,2026-08-17,-0.006587615283267456
2026-08-17,603665.SH,0.7508480850361966,197,48.0,5208,纺织服饰,消费,2026-08-17,-0.01777575205104831
2026-08-17,601669.SH,0.7492334888629546,197,49.0,5208,建筑装饰,其他,2026-08-17,-0.002132196162047073
2026-08-17,600185.SH,0.7490585960195179,197,50.0,5208,商贸零售,消费,2026-08-17,-0.006465517241379226
2026-08-17,300999.SZ,0.7484581313415869,197,51.0,5208,农林牧渔,消费,2026-08-17,0.026842948717948678
2026-08-17,600720.SH,0.7484459398206161,197,52.0,5208,建筑装饰,其他,2026-08-17,-0.005847953216374324
2026-08-17,600004.SH,0.7481896348542882,197,53.0,5208,交通运输,其他,2026-08-17,-0.004026845637583931
2026-08-17,688198.SH,0.7479003824968338,197,54.0,5208,医药生物,其他,2026-08-17,-0.010112359550561667
2026-08-17,601799.SH,0.746816749041269,197,55.0,5208,汽车,其他,2026-08-17,0.009352909189777048
2026-08-17,688069.SH,0.7459994906419223,197,56.0,5208,环保,其他,2026-08-17,-0.006603773584905714
2026-08-17,600084.SH,0.7459022845438963,197,57.0,5208,食品饮料,消费,2026-08-17,0.0024390243902441266
