datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,ret_0818
2026-08-14,301325.SZ,0.7153826854243274,153,85.0,5208,电气设备,其他,2026-08-14,-0.003815580286168574
2026-08-14,688069.SH,0.7152721880550569,153,86.0,5208,环保,其他,2026-08-14,-0.006603773584905714
2026-08-14,000825.SZ,0.7149818422229086,153,87.0,5208,钢铁,其他,2026-08-14,-0.023121387283236983
2026-08-14,600416.SH,0.7149710119768242,153,88.0,5208,电气设备,其他,2026-08-14,-0.022246941045606317
2026-08-14,600170.SH,0.7149611595180619,153,89.0,5208,建筑装饰,其他,2026-08-14,0.0
2026-08-14,301622.SZ,0.7149086701563659,153,90.0,5208,有色金属,其他,2026-08-14,0.00047203209818280634
2026-08-14,000993.SZ,0.7149020248152526,153,91.0,5208,公用事业,其他,2026-08-14,-0.009960159362549792
2026-08-14,603868.SH,0.7148838313905731,153,92.0,5208,家用电器,消费,2026-08-14,0.0019493177387914784
2026-08-14,601878.SH,0.7146586368883813,153,93.0,5208,非银金融,其他,2026-08-14,-0.010695187165775333
2026-08-14,000557.SZ,0.7145274094004039,153,94.0,5208,交通运输,其他,2026-08-14,-0.002739726027397249
2026-08-14,603194.SH,0.7143509723500007,153,95.0,5208,机械设备,其他,2026-08-14,-0.004419563936358228
2026-08-14,003030.SZ,0.7136974977815688,153,96.0,5208,农林牧渔,消费,2026-08-14,0.03535811423390767
2026-08-14,603978.SH,0.7133940515535245,153,97.0,5208,有色金属,其他,2026-08-14,-0.006565656565656552
2026-08-14,600361.SH,0.7131890558787134,153,98.0,5208,有色金属,其他,2026-08-14,-0.010928961748633892
2026-08-14,601399.SH,0.7131624187940153,153,99.0,5208,机械设备,其他,2026-08-14,-0.015337423312883347
2026-08-14,000928.SZ,0.7130262992690003,153,100.0,5208,建筑装饰,其他,2026-08-14,0.0
