asset,industry,contrib
600383.SH,房地产I,-0.0095
002405.SZ,计算机I,-0.0077
600489.SH,有色金属I,-0.006
002271.SZ,建筑材料I,-0.0057
601155.SH,房地产I,-0.0052
600426.SH,化工I,-0.0052
000975.SZ,有色金属I,-0.0051
002155.SZ,有色金属I,-0.0046
000895.SZ,食品饮料I,-0.0043
001979.SZ,房地产I,-0.0037
300118.SZ,电气设备I,-0.0036
600988.SH,有色金属I,-0.0035
000762.SZ,有色金属I,-0.0031
000425.SZ,机械设备I,-0.0028
000002.SZ,房地产I,-0.0028
