IndustryName,may_avg_weight,may_contrib,jun_avg_weight,jun_contrib
化工I,0.15337823576772602,-0.026409006388596425,0.15833359149604034,-0.0022750931930824846
医药生物I,0.15919481508496724,-0.015827641556843776,0.09829679113329727,-0.004094355598295613
电气设备I,0.08120241974763057,-0.007684734767864366,0.07823010682663388,-0.0019623605453024198
房地产I,0.06701246365718638,-0.004577870408742434,0.08657348030073346,-0.02118414636318306
食品饮料I,0.0509270632846894,-0.004443566469129238,0.045669738754310366,-0.004543999279094844
有色金属I,0.018801297831884205,-0.004251067253276866,0.08352440001392371,-0.02589744832958919
石油石化I,0.026814384554163264,-0.004218292951445353,0.0169006451861068,0.004105547018145202
农林牧渔I,0.03117208680894496,-0.004195419757860536,0.01648149054167525,-0.002921771151370119
银行I,0.05177699305795914,-0.0034252891619084664,0.026622252668736208,-0.000544354358087204
建筑材料I,0.041458686939703546,-0.0026780015458480666,0.042816425586254425,-0.006169306037679224
计算机I,0.04429212301434779,-0.002218179564939183,0.08163409308743562,-0.012421996320588196
非银金融I,0.020831795889044463,-0.0014534310345139553,0.01905671454428608,0.0018030636884791825
传媒I,0.0149505104017866,-0.0011484851321144508,0.0791464580058552,-0.0006260743330741866
机械设备I,0.016557855025671395,-0.0007412226699995382,0.01114200055544769,-0.0027786650615701115
钢铁I,0.00846426489968315,-0.0005009771987577701,0.005533335182263855,-0.000290888546896061
休闲服务I,0.005182643402949387,-0.00028020230130937996,0.001164653871879117,-0.00041758746171769687
家用电器I,0.009237938907650444,-0.00019919332547291358,0.0020759678952356614,1.4443534005792173e-05
商业贸易I,0.0005257455633077995,-5.3838036374705306e-05,0.00011814658241414719,-2.7638140343918526e-05
汽车I,6.205827825649394e-06,-1.0455007767692474e-07,0.009774966334126342,-0.0026672016839802072
公用事业I,3.066426832436475e-07,-4.5096163646149344e-09,6.89093500278015e-08,-1.402367248345417e-09
建筑装饰I,1.4210158516968043e-07,-3.796717573849857e-09,3.19333491619054e-08,-2.273955715706103e-09
交通运输I,0.006848439367576889,0.0001706205726750909,0.001538994834419574,-7.801012492822068e-05
国防军工I,0.019318410622365934,0.001983201529895981,0.00547581912448941,0.00067639711234793
煤炭I,0.012816556738075732,0.0024484802086734174,0.013860673539799384,0.0028439429320744323
通信I,0.012488160879581121,0.003034581610893951,0.002806364202633817,0.0006406429713246078
电子I,0.04892765672333613,0.010034939625029552,0.022962404658418013,-0.0007022804342282275
