asset,industry,contrib
600309.SH,化工I,-0.0073
000830.SZ,化工I,-0.0056
600426.SH,化工I,-0.0045
601233.SH,石油石化I,-0.0042
000895.SZ,食品饮料I,-0.0036
300118.SZ,电气设备I,-0.0036
002271.SZ,建筑材料I,-0.0035
601155.SH,房地产I,-0.0032
300347.SZ,医药生物I,-0.0032
002601.SZ,化工I,-0.0031
300601.SZ,医药生物I,-0.0028
300003.SZ,医药生物I,-0.0026
600763.SH,医药生物I,-0.0025
002001.SZ,化工I,-0.0023
002714.SZ,农林牧渔I,-0.0023
