date,ric,year
2020-01-20,-0.025790292637191133,2020
2020-01-21,-0.06943903526351271,2020
2020-01-22,-0.07613387595960976,2020
2020-01-23,-0.2241417494695218,2020
2020-02-03,-0.2531477481141911,2020
2020-02-04,-0.10294543873426597,2020
2020-02-05,-0.12691817441958286,2020
2020-02-06,-0.09591477255422365,2020
2020-02-07,-0.10156872130719792,2020
2020-02-10,-0.15803373821126046,2020
2020-02-11,-0.12354477611513091,2020
2020-02-12,-0.05359990564082504,2020
2020-02-13,0.023642246719989726,2020
2020-02-14,0.0406617051756706,2020
2020-02-17,0.06969550600476694,2020
2020-02-18,0.08213669508550585,2020
2020-02-19,0.10390900378507503,2020
2020-02-20,0.1458885312883195,2020
2020-02-21,0.1823594563261392,2020
2020-02-24,0.20321590951781796,2020
2020-02-25,0.23760613408221687,2020
2020-02-26,0.15004299984312036,2020
2020-02-27,0.03129929807782157,2020
2020-02-28,-0.03946915188525927,2020
2020-03-02,0.0013072865421858712,2020
2020-03-03,-0.018943747623128247,2020
2020-03-04,-0.09772016065339276,2020
2020-03-05,-0.1376466460359078,2020
2020-03-06,-0.127508533548802,2020
2020-03-09,-0.07737862939205223,2020
2020-03-10,-0.025824866869409262,2020
2020-03-11,-0.040585439142340286,2020
2020-03-12,0.11548005803547706,2020
2020-03-13,0.15988015469864664,2020
2020-03-16,0.3112913096134573,2020
2020-03-17,0.28134353252087685,2020
2020-03-18,0.3381457276707229,2020
2020-03-19,0.4167880987441212,2020
2020-03-20,0.42636000857477374,2020
2020-03-23,0.41883143057639705,2020
2020-03-24,0.3449436318563836,2020
2020-03-25,0.31603449651999255,2020
2020-03-26,0.26735350390975104,2020
2020-03-27,0.25592839513496224,2020
2020-03-30,0.21038885132844867,2020
2020-03-31,0.18277001834048817,2020
2020-04-01,0.22293864444126754,2020
2020-04-02,0.14030565037276446,2020
2020-04-03,0.15607715968834554,2020
2020-04-21,0.2306801920895881,2020
2020-04-22,0.2533055767755543,2020
2020-04-23,0.2337317755978739,2020
2020-04-24,0.18953412566785863,2020
2020-04-27,0.1252320044266353,2020
2020-04-28,0.03504114242369276,2020
2020-04-29,0.1762354380275007,2020
2020-04-30,0.12492580953350584,2020
2020-05-06,0.061127791282106714,2020
2020-05-07,0.07241241459722597,2020
2020-05-08,0.009865570268254832,2020
2020-05-11,0.09245502366307737,2020
2020-05-12,0.03475898106770591,2020
2020-05-13,-0.03789252950326776,2020
2020-05-14,0.01653575479078835,2020
2020-05-15,0.018717470990852005,2020
2020-05-18,-0.05835221852852515,2020
2020-05-19,-0.043179853493654115,2020
2020-05-20,0.01998215421034213,2020
2020-05-21,0.03668716841166252,2020
2020-05-22,0.02723246743148758,2020
2020-05-25,0.009612266323675721,2020
2020-05-26,0.12945572173760095,2020
2020-05-27,0.1035926103040197,2020
2020-05-28,0.1537651311048472,2020
2020-05-29,0.23293610877503498,2020
2020-06-01,0.23052058661627609,2020
2020-06-02,0.23549207789532495,2020
2020-06-03,0.15205336514061346,2020
2020-06-04,0.18623794630506044,2020
2020-06-05,0.1985717640961327,2020
2020-06-08,0.19813178034654547,2020
2020-06-09,0.2611667328936845,2020
2020-06-10,0.3099666170135969,2020
2020-06-11,0.2188344537337826,2020
2020-06-12,0.22222588665541687,2020
2020-06-15,0.21577556812456142,2020
2020-06-16,0.10939020167208088,2020
2020-06-17,0.10003811010522422,2020
2020-06-18,0.023773926458490222,2020
2020-06-19,-0.04325544234361909,2020
2020-06-22,-0.11309404047435709,2020
2020-06-23,-0.1469309455886637,2020
2020-06-24,-0.12561678429689507,2020
2020-06-29,-0.12473730594535963,2020
2020-06-30,-0.051926169449594405,2020
2020-07-01,0.011086972927050019,2020
2020-07-02,0.09675431990868234,2020
2020-07-03,0.1444372987997149,2020
2020-07-20,0.05359737406717273,2020
2020-07-21,0.06472121908363519,2020
2020-07-22,-0.038166903938716024,2020
2020-07-23,-0.09751198613745311,2020
2020-07-24,-0.05574359316725164,2020
2020-07-27,-0.0058662994904605656,2020
2020-07-28,-0.09027239564152316,2020
2020-07-29,-0.08115895028646708,2020
2020-07-30,-0.10330953283973418,2020
2020-07-31,-0.14298801547123693,2020
2020-08-03,-0.08340570588892739,2020
2020-08-04,-0.091038272604317,2020
2020-08-05,-0.06558786504486512,2020
2020-08-06,0.00889380940891432,2020
2020-08-07,0.05595085628642677,2020
2020-08-10,0.02130593070190386,2020
2020-08-11,0.05041230031270249,2020
2020-08-12,0.14267195810819974,2020
2020-08-13,0.16787684572919476,2020
2020-08-14,0.17971708743520828,2020
2020-08-17,0.19299653527841448,2020
2020-08-18,0.2456480275272222,2020
2020-08-19,0.21362912638080425,2020
2020-08-20,0.21881109297216683,2020
2020-08-21,0.09080969315868645,2020
2020-08-24,-0.1603294875106956,2020
2020-08-25,-0.33897518629062257,2020
2020-08-26,-0.31968908196891604,2020
2020-08-27,-0.31126840690599084,2020
2020-08-28,-0.19039753603511994,2020
