date,ric
2020-01-20,0.003670846373086775
2020-01-21,0.0033634920036905653
2020-01-22,0.02440123441026855
2020-01-23,-0.14233782390587263
2020-02-03,-0.10258467389575511
2020-02-04,-0.016003497701884917
2020-02-05,-0.0959632603927906
2020-02-06,-0.13634073365616992
2020-02-07,-0.07010267628473658
2020-02-10,-0.12064071247582842
2020-02-11,-0.07827549941643902
2020-02-12,0.0021381967690692525
2020-02-13,0.04524248710691967
2020-02-14,0.060786325796396846
2020-02-17,0.03879192326767648
2020-02-18,0.07980954104109073
2020-02-19,0.05623784009097106
2020-02-20,0.19287017859195013
2020-02-21,0.1623868749134034
2020-02-24,0.20335451375719835
2020-02-25,0.20526645528228812
2020-02-26,0.03457462615039112
2020-02-27,-0.06869941937056032
2020-02-28,-0.08672980485061023
2020-03-02,-0.01657354615600352
2020-03-03,-0.04660060227256752
2020-03-04,-0.09763240971294664
2020-03-05,-0.12660915872505735
2020-03-06,-0.09327311905481493
2020-03-09,-0.009399959301884234
2020-03-10,0.06208993413295133
2020-03-11,0.13875973350864687
2020-03-12,0.2167418581724499
2020-03-13,0.19456837037255167
2020-03-16,0.25871450981730565
2020-03-17,0.22118885206133532
2020-03-18,0.32794661653722057
2020-03-19,0.41350481357765506
2020-03-20,0.3803931731143737
2020-03-23,0.38413135345512256
2020-03-24,0.2703433918230516
2020-03-25,0.17769386225762068
2020-03-26,0.15727518244296768
2020-03-27,0.24979092688527543
2020-03-30,0.21780706321869564
2020-03-31,0.13738238025603305
2020-04-01,0.19544119265404863
2020-04-02,0.1475523129389672
2020-04-03,0.14100421524427834
2020-04-21,0.26787144069023267
2020-04-22,0.27563958100870856
2020-04-23,0.24431096746532993
2020-04-24,0.2221461852334336
2020-04-27,0.15715013366020078
2020-04-28,0.10959403576853242
2020-04-29,0.10465255958970322
2020-04-30,0.08251686126145204
2020-05-06,0.03009919620657876
2020-05-07,0.022341591133537446
2020-05-08,0.028663654502580682
2020-05-11,0.05414245850487462
2020-05-12,0.005669336206248959
2020-05-13,-0.0714614858910161
2020-05-14,0.027694869976749175
2020-05-15,0.0307826129973781
2020-05-18,-0.08209383880524822
2020-05-19,-0.10150229181694251
2020-05-20,-0.023869659775700044
2020-05-21,0.0026010607848232156
2020-05-22,0.07148141943210258
2020-05-25,0.053975268740369425
2020-05-26,0.16287122998532397
2020-05-27,0.15828106935489486
2020-05-28,0.21904380956350902
2020-05-29,0.23898975241257123
2020-06-01,0.31025290085692775
2020-06-02,0.2704599046880926
2020-06-03,0.19318021499229557
