canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
intra_idiosyncratic_kurtosis,daily,False,False,False,False,False,False
intra_idiosyncratic_kurtosis_ex_self,daily,False,False,False,False,False,False
intra_idiosyncratic_skewness,daily,False,False,False,False,False,False
intra_idiosyncratic_skewness_ex_self,daily,False,False,False,False,False,False
intra_idiosyncratic_variance,daily,False,False,False,False,False,False
intra_idiosyncratic_variance_ex_self,daily,False,False,False,False,False,False
intra_industry_lead_lag_ex_self,daily,False,False,False,False,False,False
intra_interval_amount_share,daily,False,False,False,False,False,False
intra_interval_illiquidity,daily,False,False,False,False,False,False
intra_interval_realized_variance,daily,False,False,False,False,False,False
intra_interval_return,daily,False,False,False,False,False,False
intra_interval_volume_share,daily,False,False,False,False,False,False
intra_interval_vwap_deviation,daily,False,False,False,False,False,False
intra_jump_clustering,daily,False,False,False,False,False,False
intra_jump_concentration,daily,False,False,False,False,False,False
intra_jump_count,daily,False,False,False,False,False,False
intra_jump_first_time,daily,False,False,False,False,False,False
intra_jump_last_time,daily,False,False,False,False,False,False
intra_jump_ratio,daily,False,False,False,False,False,False
intra_jump_variation,daily,False,False,False,False,False,False
intra_kyle_lambda_proxy,daily,False,False,False,False,False,False
intra_limit_duration,daily,False,False,False,False,False,False
intra_limit_first_hit_time,daily,False,False,False,False,False,False
intra_limit_reopen_count,daily,False,False,False,False,False,False
intra_longest_above_vwap_streak,daily,False,False,False,False,False,False
intra_longest_below_vwap_streak,daily,False,False,False,False,False,False
intra_low_time,daily,False,False,False,False,False,False
intra_lunch_gap_return,daily,False,False,False,False,False,False
intra_market_lead_lag_ex_self,daily,False,False,False,False,False,False
