canonical,model_family,lane,explicit_timing,role,cost_class,stateful
ts_ar_prior_innovation_z,ar,FAST_NATIVE_ALPHA,True,,,False
ts_bicoherence_top_decile_excess,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_bicoherence_top_decile_mean,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_change_point_probability,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_conditional_transfer_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_cross_spectral_coherence,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_cross_spectral_phase,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_cumulative_deviation_score,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_cusum_pressure,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_cusum_vol_break_score,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_detrended_level_spectral_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_dfa_hurst,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_dmd_dominant_frequency,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_dominant_growth_rate,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_level_dominant_frequency,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_level_dominant_growth_rate,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_level_mode_concentration,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_mode_concentration,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_return_dominant_frequency,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_return_dominant_growth_rate,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dmd_return_mode_concentration,dmd,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_dominant_cycle_period,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_effective_transfer_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_expectile,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_expectile_beta,regression,DIAGNOSTIC_RESEARCH,False,,,False
