canonical	inspection_scope	schema_discovery_status	research_callable	contract_status	panel_params	unknown_parameters	unresolved_reason	numerical_evidence_status	production_callable
PPO	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PPO_hist	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PPO_signal	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PSAR	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PVO	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		volume	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PVO_hist	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		volume	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
PVO_signal	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		volume	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
QQE	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
RSI_WILDER	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	x	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
RSX	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
Supertrend	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
SupertrendDirection	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
TEMA	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		x	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
