,strategy_nav,benchmark_nav,excess_nav,strategy_nav_ret,benchmark_nav_ret,excess_nav_ret
2020-01-23,1.0,1.0,1.0,,,
2020-02-03,1.0095005421362062,0.9181616272775269,1.099480213662938,0.009500542136206214,-0.08183837272247307,0.09948021366293802
2020-02-04,1.033381142136206,0.9340605974198981,1.106332014208345,0.02365585653819058,0.017316090838509268,0.0062318543437722695
2020-02-05,1.0456133421362062,0.9518976513543195,1.0984514360851212,0.011837065242659373,0.01909624919806241,-0.007123158348502634
2020-02-06,1.063155342136206,0.9749875806699531,1.0904296251708863,0.016776756084769584,0.024256735251717787,-0.007302836202595087
2020-02-07,1.0680110421362061,0.9795587852001684,1.0902980589551479,0.0045672535400549386,0.004688474623516958,-0.00012065539371031164
2020-02-10,1.068294242136206,0.9878947731885043,1.0813846485777088,0.0002651657977557065,0.008509941531107179,-0.008175205214967507
2020-02-11,1.072550242136206,0.9896657807915846,1.083749951704227,0.003983921125971346,0.0017927087490952065,0.0021872912008038536
2020-02-12,1.082431942136206,1.0029449962909085,1.0792535444508484,0.009213274690347939,0.013417878800156657,-0.004148934213383693
2020-02-13,1.0770782421362062,0.9953731034067947,1.082084937245908,-0.004945992252810116,-0.00754965916587258,0.0026234732418695117
2020-02-14,1.0774029421362061,0.9997349057801678,1.0776886311631064,0.00030146370736816586,0.004382077794190087,-0.0040628105349945765
2020-02-17,1.1081934199838441,1.0276254909255351,1.0784020343692966,0.028578423766495886,0.027897980738806227,0.0006619752547822877
2020-02-18,1.1066776199838442,1.0337828054097042,1.0705126978246176,-0.0013678117670307133,0.005991788388417074,-0.007315765635858784
2020-02-19,1.104727519983844,1.028746015232893,1.0738583708960951,-0.001762121113489834,-0.004872193801690239,0.003125299754291877
2020-02-20,1.1266156199838442,1.0506419067180222,1.07231171037442,0.019813120976944765,0.021284059584106618,-0.0014402835267601777
2020-02-21,1.1448156199838442,1.058474438456929,1.0815713430480056,0.01615457808073084,0.007454996501494948,0.008635206147615815
2020-02-24,1.156973919983844,1.0648901641133712,1.0864725386464076,0.010620312815238675,0.006061294844110998,0.004531550904991466
