date,ic
2020-01-23,-0.2954732242515302
2020-02-03,-0.32199179732861655
2020-02-04,-0.2215046615379311
2020-02-05,-0.18116275788026603
2020-02-06,-0.20898591627044838
2020-02-07,-0.20629162638920245
2020-02-10,-0.23368392965867596
2020-02-11,-0.2062036026896898
2020-02-12,-0.10353013862394955
2020-02-13,0.048396859042363606
2020-02-14,0.08284470163434744
2020-02-17,0.046096900326326413
2020-02-18,0.1853659415862081
2020-02-19,0.18212055822340634
2020-02-20,0.29456448108456634
2020-02-21,0.3075359765788052
2020-02-24,0.4192794470404791
2020-02-25,0.4367312153243787
2020-02-26,0.3162197108777147
2020-02-27,0.16388815905937976
2020-02-28,0.13057010431844002
2020-03-02,0.1622320256437419
2020-03-03,0.09872427169190484
2020-03-04,-0.03830069621020737
2020-03-05,-0.06788577547637194
2020-03-06,0.002563665381824633
2020-03-09,0.06631233627733756
2020-03-10,0.11589765436994409
2020-03-11,0.14920023542949523
2020-03-12,0.2227279636542416
2020-03-13,0.28661607963587316
2020-03-16,0.31716683802698153
2020-03-17,0.3216535745877908
2020-03-18,0.36494246478729
2020-03-19,0.3824845040794564
2020-03-20,0.3146379408649146
2020-03-23,0.275040458168918
2020-03-24,0.2376553289936604
2020-03-25,0.25788621262321715
2020-03-26,0.3013658636023877
2020-03-27,0.17849880550338962
2020-03-30,0.10512913178322271
2020-03-31,-0.004418861354919344
2020-04-01,0.04806917031437941
2020-04-02,-0.0016826489672015204
2020-04-03,0.0344027477413548
2020-04-21,0.11003724620124107
2020-04-22,0.1763050520159425
2020-04-23,0.14388241065931068
2020-04-24,0.08226919000936406
2020-04-27,0.026190939784299067
2020-04-28,0.033389929623680176
2020-04-29,0.028089171975644936
2020-04-30,0.03986115142674991
2020-05-06,0.13519102768677457
2020-05-07,0.09769261664464092
2020-05-08,0.10391108411969513
2020-05-11,0.12232288778844008
2020-05-12,0.08403555678364531
2020-05-13,0.0768515381259249
2020-05-14,0.10505397544272514
2020-05-15,0.14417220811466852
2020-05-18,0.046563911454383565
2020-05-19,0.07715112977505925
2020-05-20,0.044671864211298026
2020-05-21,-0.027728623279637835
2020-05-22,0.0011391209367075882
2020-05-25,0.004556247109701952
2020-05-26,0.03327139857230644
2020-05-27,0.021528861154876983
2020-05-28,0.028783079875784462
2020-05-29,0.10383685474378315
2020-06-01,0.16174657392431346
2020-06-02,0.13715248982973963
2020-06-03,0.09157966982880142
2020-06-04,0.08616161798470444
2020-06-05,0.024441281828859577
2020-06-08,0.05138775440887559
2020-06-09,0.034407672469322054
2020-06-10,0.09660086428774664
