canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
ashare_limit_distance,daily,,,session_close,False,"['close', 'upper_limit']",NEEDS_DECL
ashare_limit_down_streak,daily,,,session_close,False,"['close', 'low_limit', 'valid_trade']",NEEDS_DECL
ashare_limit_down_touch,daily,,,,,['lower_limit'],OK
ashare_limit_down_volume_ratio,daily,,,session_close,False,"['volume', 'limit_down_event']",NEEDS_DECL
ashare_limit_event_density,daily,,,,,['event'],OK
ashare_limit_failed,daily,,,session_close,False,"['close', 'upper_limit']",NEEDS_DECL
ashare_limit_one_price,daily,,,session_close,False,"['close', 'upper_limit', 'lower_limit']",NEEDS_DECL
ashare_limit_open_down_streak,daily,,,,,"['low_limit', 'valid_trade']",OK
ashare_limit_open_failed,daily,,,,,['upper_limit'],OK
ashare_limit_open_up_streak,daily,,,,,"['high_limit', 'valid_trade']",OK
ashare_limit_touch_count,daily,,,,,"['high_limit', 'low_limit']",OK
ashare_limit_up_streak,daily,,,session_close,False,"['close', 'high_limit', 'valid_trade']",NEEDS_DECL
ashare_limit_up_touch,daily,,,,,['upper_limit'],OK
ashare_limit_up_volume_ratio,daily,,,session_close,False,"['volume', 'limit_up_event']",NEEDS_DECL
ashare_one_price_limit_streak,daily,,,session_close,False,"['close', 'high_limit', 'low_limit', 'valid_trade']",NEEDS_DECL
ashare_open_at_upper_limit,daily,,,,,['upper_limit'],OK
ashare_suspension_episode_length,daily,,,,,['is_suspend'],OK
asin,daily,,,,,['x'],OK
asin_bounded,extended,,,,,['x'],OK
atan,daily,,,,,['x'],OK
atan2,daily,,,,,"['y', 'x']",OK
average_turnover,daily,,,,,[],OK
baseline_scaled_wasserstein_distance,extended,session_close,False,session_close,False,"['x', 'y']",OK
benchmark_excess_return,daily,,,session_close,False,"['ret', 'benchmark_ret']",NEEDS_DECL
benchmark_relative_price,daily,,,,,[],OK
bollinger_pct_b,daily,,,,,[],OK
bollinger_width,daily,,,,,[],OK
book_to_price,daily,,,,,['pb'],OK
bounded_nvi,daily,,,,,[],OK
bounded_pvi,daily,,,,,[],OK
calendar_day_diff,daily,,,,,"['date1', 'date2']",OK
candle_abs_body,daily,,,,,[],OK
candle_body,daily,,,,,[],OK
candle_body_percentile,daily,,,,,[],OK
candle_body_position,daily,,,,,[],OK
candle_body_ratio,daily,,,,,[],OK
candle_body_zscore,daily,,,,,[],OK
candle_close_location,daily,,,,,[],OK
candle_close_strength,daily,,,,,[],OK
candle_direction,daily,,,,,[],OK
candle_gap,daily,,,,,[],OK
candle_gap_atr,daily,,,,,[],OK
candle_gap_pct,daily,,,,,[],OK
candle_inside_ratio,daily,,,,,[],OK
candle_lower_shadow,daily,,,,,[],OK
candle_lower_shadow_ratio,daily,,,,,[],OK
candle_lower_shadow_zscore,daily,,,,,[],OK
candle_overlap_ratio,daily,,,,,[],OK
candle_range,daily,,,,,[],OK
candle_range_atr,daily,,,,,[],OK
candle_range_percentile,daily,,,,,[],OK
candle_range_zscore,daily,,,,,[],OK
candle_rejection_lower,daily,,,,,[],OK
candle_rejection_upper,daily,,,,,[],OK
candle_upper_shadow,daily,,,,,[],OK
candle_upper_shadow_ratio,daily,,,,,[],OK
candle_upper_shadow_zscore,daily,,,,,[],OK
candlestick_pattern,daily,,,session_close,False,"['open', 'close', 'pattern']",NEEDS_DECL
capital_change_age,daily,,,,,[],OK
capital_change_magnitude,daily,,,,,[],OK
cash_flow_lifecycle_stage,daily,,,,,[],OK
cbrt,daily,,,,,['x'],OK
cdl_dark_cloud_cover,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_doji,daily,,,,,[],OK
cdl_dragonfly_doji,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_engulfing,daily,,,,,[],OK
cdl_evening_star,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_gravestone_doji,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_hammer,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_hanging_man,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_harami,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_harami_cross,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_inside_bar,daily,,,,,[],OK
cdl_inverted_hammer,daily,,,,,[],OK
cdl_marubozu,daily,,,,,[],OK
cdl_morning_star,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_outside_bar,daily,,,,,[],OK
cdl_piercing,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_shooting_star,daily,,,,,[],OK
cdl_spinning_top,daily,,,,,[],OK
cdl_three_black_crows,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_three_white_soldiers,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_tweezer_bottom,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
cdl_tweezer_top,daily,,,session_close,False,"['open', 'close']",NEEDS_DECL
ceil,daily,,,,,['x'],OK
choppiness_index,daily,,,,,[],OK
circulating_cap_ratio_change,extended,,,,,[],OK
circulating_cap_unlock_proxy,daily,,,,,[],OK
clip,daily,,,,,['x'],OK
coalesce,daily,,,,,[],OK
composition_aitchison_distance,daily,,,,,[],OK
composition_clr_component,daily,,,,,[],OK
composition_entropy,daily,,,,,[],OK
composition_ilr_balance,daily,,,,,[],OK
composition_js_divergence,daily,,,,,[],OK
composition_normalized_entropy,extended,,,,,[],OK
corwin_schultz_spread,daily,,,,,[],OK
cos,daily,,,,,['x'],OK
cos_phase,extended,,,,,['x'],OK
coskewness_to_market,daily,,,session_close,False,['ret'],NEEDS_DECL
cross_event,daily,,,,,"['x', 'y']",OK
cs_actual_lof_score,daily,,,,,[],OK
cs_autoencoder_reconstruction_error,extended,,,,,[],OK
cs_bucket,daily,,,,,[],OK
cs_bucket_fixed,daily,,,,,[],OK
cs_bucket_historical,daily,,,,,[],OK
cs_count,daily,,,,,['x'],OK
cs_coverage_ratio,daily,,,,,[],OK
cs_demean,daily,,,,,['x'],OK
cs_fill_mean,daily,,,,,[],OK
cs_fill_median,daily,,,,,[],OK
cs_hartigan_dip,daily,,,,,[],OK
cs_huber_resid,daily,,,,,"['y', 'x']",OK
cs_impute_mean,daily,,,,,[],OK
cs_impute_median,daily,,,,,[],OK
cs_isolation,daily,,,,,['x'],OK
cs_isotonic_residual,daily,,,,,"['y', 'x']",OK
cs_isotonic_residual_lagged_direction,extended,,,,,"['y', 'x']",OK
cs_knn_distance,daily,,,,,[],OK
cs_knn_graph_dirichlet_energy,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_gradient_norm,extended,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_linear_residual,extended,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_moran,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_neighbor_retention,daily,,,,,"['f1', 'f2', 'f3']",OK
cs_knn_peer_mean_ex_self,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_tangent_residual,extended,,,,,"['f1', 'f2', 'f3']",OK
cs_lad_resid,daily,,,,,"['y', 'x']",OK
cs_local_curvature,daily,,,,,['x'],OK
cs_local_density,daily,,,,,['x'],OK
cs_local_density_score,daily,,,,,[],OK
cs_mad,daily,,,,,['x'],OK
cs_mad_zscore,daily,,,,,['x'],OK
cs_mahalanobis_distance,daily,,,,,[],OK
cs_mean,daily,,,,,['x'],OK
cs_multi_resid,daily,,,,,[],OK
cs_multi_ridge_resid,extended,,,,,[],OK
cs_neighbor_gap,daily,,,,,['x'],OK
cs_neutralize,daily,,,,,[],OK
cs_pct_rank,daily,,,,,['x'],OK
cs_physical_panel_coverage,extended,,,,,[],OK
cs_quantile,daily,,,,,['x'],OK
cs_quantile_resid,daily,,,,,[],OK
cs_rank_churn,daily,,,,,['x'],OK
cs_rank_combined_churn,extended,,,,,['x'],OK
cs_rank_composition_churn,extended,,,,,['x'],OK
cs_rank_copula_entropy,extended,,,,,"['a', 'b']",OK
cs_rank_copula_mi,extended,,,,,"['a', 'b']",OK
cs_rank_gaussian,daily,,,,,[],OK
cs_regression,daily,,,,,"['y', 'x']",OK
cs_relative_density_ratio,daily,,,,,[],OK
cs_resid,daily,,,,,"['y', 'x']",OK
cs_residual_percentile,daily,,,,,[],OK
cs_ridge_resid,daily,,,,,[],OK
cs_robust_mahalanobis_mad,daily,,,,,[],OK
cs_shrinkage_mahalanobis,daily,,,,,[],OK
cs_sliced_wasserstein_copula_shift,extended,,,,,"['f1', 'f2', 'f3']",OK
cs_spline_resid,daily,,,,,[],OK
cs_std,daily,,,,,['x'],OK
cs_sum,daily,,,,,['x'],OK
cs_tail_breadth,extended,,,,,['x'],OK
cs_tail_retention,daily,,,,,['x'],OK
cs_trimmed_ols_resid,extended,,,,,"['y', 'x']",OK
cs_universe_coverage,extended,,,,,[],OK
cs_valid_count,daily,,,,,[],OK
cs_weighted_demean,daily,,,,,[],OK
cs_weighted_mean,daily,,,,,[],OK
cs_weighted_percentile_rank,daily,,,,,[],OK
cs_weighted_zscore,daily,,,,,[],OK
cs_wls_resid,daily,,,,,[],OK
date_diff_days,daily,,,,,[],OK
digital_count,daily,,,,,"['x', 'd', 'run']",OK
directional_change_extent,daily,,,,,['price'],OK
directional_change_state,daily,,,,,['price'],OK
divide,daily,,,,,[],OK
dollar_volume,daily,,,,,[],OK
dollar_volume_zscore,daily,,,,,[],OK
donchian_lower,daily,,,,,[],OK
donchian_mid,daily,,,,,[],OK
donchian_position,daily,,,,,[],OK
donchian_upper,daily,,,,,[],OK
down_volume_ratio,daily,,,,,[],OK
earnings_yield,daily,,,,,['pe'],OK
efficiency_ratio,daily,,,,,[],OK
eq,daily,,,,,"['x', 'y']",OK
event_abnormal_return_past,daily,,,session_close,False,"['ret', 'benchmark_ret', 'event']",NEEDS_DECL
event_active_count,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_allan_factor,daily,,,,,[],OK
event_allan_log_mean,extended,,,,,[],OK
event_allan_scaling_slope,extended,,,,,[],OK
event_arithmetic_return_sum,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_cluster_count,daily,,,,,['condition'],OK
event_cluster_mean_size,daily,,,,,['condition'],OK
event_cumulative_return_past,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_decay_asof,daily,,,,,['event'],OK
event_fano_excess,extended,,,,,['event'],OK
event_fano_factor,daily,,,,,['event'],OK
event_frequency,daily,,,,,['condition'],OK
event_hawkes_branching_ratio_proxy,extended,,,,,['event'],OK
event_historical_response_mean,daily,,,,,"['response', 'event']",OK
event_historical_response_sign_balance,daily,,,,,"['response', 'event']",OK
event_interval_mark_coupling,extended,,,,,"['event', 'mark']",OK
event_interval_memory,daily,,,,,['event'],OK
event_level_survival_share,daily,,,,,[],OK
event_local_variation,daily,,,,,['event'],OK
event_log_return_sum,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_mark_autocorr,extended,,,,,"['event', 'mark']",OK
event_refractory,daily,,,,,['condition'],OK
event_response_decay_rate,daily,,,,,"['response', 'event']",OK
event_response_dispersion,daily,,,,,"['response', 'event']",OK
event_response_effective_events,extended,,,,,['event'],OK
event_response_overlap_ratio,extended,,,,,['event'],OK
event_response_peak_lag,daily,,,,,"['response', 'event']",OK
