alias,canonical,tombstoned
shift,ts_delay,False
size_industry_neutralize,industry_size_neutralize,False
skew,ts_skew,False
slope,ts_time_slope,False
sqr,square,False
standardize,zscore,False
state_since_reduce,state_since_sum,False
std,ts_std,False
std_n,ts_std,False
sum,ts_sum,False
sum_n,ts_sum,False
tm_top_n_avg,ts_topk_mean,False
tm_top_n_sum,ts_topk_sum,False
ts_adx,ADX,False
ts_arg_max,ts_argmax,False
ts_arg_min,ts_argmin,False
ts_atr_wilder,ATR_WILDER,False
ts_best_lag_corr,ts_best_lag_corr_raw,False
ts_betti_crocker_bifurcation_score,ts_persistence_birth_dispersion,False
ts_bicoherence_max,ts_bicoherence_top_decile_mean,False
ts_bottom_n_avg,ts_bottomk_mean,False
ts_bottom_n_sum,ts_bottomk_sum,False
ts_correlation,ts_corr,False
ts_covariance,ts_cov,False
ts_cusum_break_score,ts_cumulative_deviation_score,False
ts_decay,ts_decay_linear,False
ts_garch_vol_forecast,ts_garch_next_vol_forecast,False
ts_har_rv_next_forecast,ts_har_rv_next_vol_forecast,False
ts_huber_regression_resid,ts_huber_regression_in_sample_resid,False
ts_integrated_autocorrelation_time,ts_autocorrelation_time,False
ts_interval_overlap_component_ratio,ts_interval_overlap_connected_component_ratio,False
ts_kurtosis,ts_kurt,False
ts_lower_tail_dependence,ts_lower_tail_coexceedance_probability,False
ts_macd,MACD_line,False
ts_matrix_profile_motif_distance,ts_matrix_profile_discord_score,False
ts_mean_absolute_deviation,ts_mean_abs_deviation,False
ts_median_absolute_deviation,ts_median_abs_deviation,False
ts_multifractal_width,ts_generalized_hurst_spread_q1_q4,False
ts_multivariate_matrix_profile_novelty,ts_matrix_profile_novelty,False
ts_partial_distance_correlation,ts_distance_correlation_partial_proxy,False
ts_pvariation_scaling_exponent,ts_vol_pvariation_roughness,False
ts_regression,ts_regression_slope,False
ts_return,ts_pct,False
ts_ridge_regression_resid,ts_ridge_regression_in_sample_resid,False
ts_robust_zscore,ts_robust_zscore_inclusive,False
ts_rolling_beta,ts_beta,False
ts_rsi_wilder,RSI_WILDER,False
ts_skewness,ts_skew,False
ts_sr_gaussian_mean_shift_score,ts_rolling_sr_gaussian_mean_shift_score,False
ts_std_dev,ts_std,False
ts_stddev,ts_std,False
ts_top_n_avg,ts_topk_mean,False
ts_top_n_std,ts_topk_std,False
ts_upper_tail_dependence,ts_upper_tail_coexceedance_probability,False
ts_variance_ratio,ts_variance_ratio_proxy,False
ts_weighted_semivariance_sqrt,ts_weighted_downside_deviation,False
var,ts_var,False
volume_to_range,volume_price_range_density,False
window_max,ts_max,False
window_mean,ts_mean,False
window_min,ts_min,False
window_std,ts_std,False
window_sum,ts_sum,False
